ID	t_SNE1	t_SNE2	Abd_type	SampleID
S001 	1.60746211650067	-4.93837142487691	Taxonomic	sample_1
S002 	-0.37270608092067	-4.14693433028259	Taxonomic	sample_2
S003 	3.32490026490997	6.24889037409212	Taxonomic	sample_3
S004 	6.34739703325723	1.10070556207726	Taxonomic	sample_4
S005 	-7.8118663047863	1.53716060199895	Taxonomic	sample_5
S006 	4.48920563545624	0.0892968604531558	Taxonomic	sample_6
S007 	-6.11067566315201	-3.03729067911018	Taxonomic	sample_7
S008 	-1.16872032289133	2.00541235776581	Taxonomic	sample_8
S009 	-6.20286089684406	-0.70231915004338	Taxonomic	sample_9
S010 	-0.0502236724131366	-1.94085309032558	Taxonomic	sample_10
S011 	-1.33284318291319	-3.95949271255119	Taxonomic	sample_11
S012 	0.439971366565668	1.02216346952373	Taxonomic	sample_12
S013 	-4.02603437405747	-0.00103676817249161	Taxonomic	sample_13
S014 	5.64150341139431	1.1391566917343	Taxonomic	sample_14
S015 	2.32120137169415	5.2903743664634	Taxonomic	sample_15
S016 	-3.27086276836554	4.72528585924377	Taxonomic	sample_16
S017 	-3.43625338872634	-5.54653530508834	Taxonomic	sample_17
S018 	2.0276666151333	-6.56637919127105	Taxonomic	sample_18
S019 	1.1184388408228	1.71527771998072	Taxonomic	sample_19
S020 	1.93832476227045	3.20261856149271	Taxonomic	sample_20
S021 	1.28269318035418	-1.10076252965481	Taxonomic	sample_21
S022 	4.84919247588497	4.84343651152322	Taxonomic	sample_22
S023 	-4.54153642741394	3.26447037186565	Taxonomic	sample_23
S024 	5.89437979588085	-2.91307116606244	Taxonomic	sample_24
S025 	-1.5970775014935	-6.08500567043211	Taxonomic	sample_25
S026 	-0.261666851890461	3.99342405511898	Taxonomic	sample_26
S027 	2.64842862940127	0.399783718389235	Taxonomic	sample_27
S028 	-4.94780954865917	3.68496931408882	Taxonomic	sample_28
S029 	-0.153299783393329	-2.7266910511454	Taxonomic	sample_29
S030 	4.43238320618601	5.77364981835263	Taxonomic	sample_30
S031 	7.408606546163	4.39273959967048	Taxonomic	sample_31
S032 	-1.61507938584662	-3.23387652174183	Taxonomic	sample_32
S033 	1.0094746771233	7.05943421433699	Taxonomic	sample_33
S034 	2.90562823028174	-1.16917096641388	Taxonomic	sample_34
S035 	-5.96052371645406	3.22014661694337	Taxonomic	sample_35
S036 	-2.56459251770047	2.36674248368272	Taxonomic	sample_36
S037 	2.95054295994763	-6.84770246312564	Taxonomic	sample_37
S038 	-1.76927647578011	1.73892755239231	Taxonomic	sample_38
S039 	-2.02699950436519	-0.831506089249438	Taxonomic	sample_39
S040 	-7.52947081687319	-1.08955201709373	Taxonomic	sample_40
S041 	-2.16003107325352	0.58095308215049	Taxonomic	sample_41
S042 	6.971135266007	0.851193248975699	Taxonomic	sample_42
S043 	-3.87022294310683	5.00980907353324	Taxonomic	sample_43
S044 	3.68217343531633	-3.20623736815751	Taxonomic	sample_44
S045 	-4.28785092632505	-1.66617786232086	Taxonomic	sample_45
S046 	0.721324017486847	1.11453947441998	Taxonomic	sample_46
S047 	-0.206523185100899	-0.481400575811992	Taxonomic	sample_47
S048 	4.71229263067037	-4.965469024606	Taxonomic	sample_48
S049 	-3.17651149505564	0.638793496096059	Taxonomic	sample_49
S050 	1.6434670943671	7.37350234292793	Taxonomic	sample_50
S051 	0.458310963395181	4.77333062161246	Taxonomic	sample_51
S052 	-0.326009032553064	3.21683787036732	Taxonomic	sample_52
S053 	3.14896049722636	6.63484936588452	Taxonomic	sample_53
S054 	1.95986565572804	-0.391184982045166	Taxonomic	sample_54
S055 	7.46192952861276	4.23737804912435	Taxonomic	sample_55
S056 	4.71424247009514	3.55740831983121	Taxonomic	sample_56
S057 	5.72849496152841	-1.87706142024769	Taxonomic	sample_57
S058 	-3.33837751662935	-5.68367550573842	Taxonomic	sample_58
S059 	8.31019936540701	3.01023261196721	Taxonomic	sample_59
S060 	3.95134815664446	-6.83461845652283	Taxonomic	sample_60
S061 	3.36282601704732	0.644286440172465	Taxonomic	sample_61
S062 	4.3826930015416	-6.50419583873179	Taxonomic	sample_62
S063 	0.0661666519407397	-6.40595457800344	Taxonomic	sample_63
S064 	-0.515263449810603	2.4059039244176	Taxonomic	sample_64
S065 	5.52555913808085	-1.23614472728145	Taxonomic	sample_65
S066 	-3.11041542256216	4.23244514864214	Taxonomic	sample_66
S067 	-0.8951448345666	5.80644669754119	Taxonomic	sample_67
S068 	-4.69126466544177	1.67710536380064	Taxonomic	sample_68
S069 	-4.17839459974968	-1.035727330654	Taxonomic	sample_69
S070 	1.78172878641848	-3.91031500188709	Taxonomic	sample_70
S071 	-0.397224701660281	-0.334278617263114	Taxonomic	sample_71
S072 	-3.23535549403758	2.38787113738988	Taxonomic	sample_72
S073 	0.814136099616004	-6.97121861658604	Taxonomic	sample_73
S074 	-5.38566251024967	2.87666118153167	Taxonomic	sample_74
S075 	-2.68211965631287	5.92140748425714	Taxonomic	sample_75
S076 	2.03866855150921	1.68479410473686	Taxonomic	sample_76
S077 	-4.82398997436588	-2.84575381496097	Taxonomic	sample_77
S078 	-6.18022969186823	1.56626528090693	Taxonomic	sample_78
S079 	-1.69766157898683	5.41748406034144	Taxonomic	sample_79
S080 	3.33869717490394	1.73525602492738	Taxonomic	sample_80
S081 	3.40737060672867	-1.41341325133638	Taxonomic	sample_81
S082 	-6.61998471717331	-1.14201916683794	Taxonomic	sample_82
S083 	-3.57043527570371	-4.0846657533033	Taxonomic	sample_83
S084 	-2.60509477918755	4.06172910088192	Taxonomic	sample_84
S085 	0.0318652141665246	-2.29240648429437	Taxonomic	sample_85
S086 	-2.0194707585525	-0.642463110607832	Taxonomic	sample_86
S087 	1.59485918257282	5.1034863032984	Taxonomic	sample_87
S088 	6.63274957255436	-4.61218253887372	Taxonomic	sample_88
S089 	-2.98301154305442	-2.16758866302014	Taxonomic	sample_89
S090 	-2.26488777695142	-1.49525517272632	Taxonomic	sample_90
S091 	4.87777019515494	-5.98529492172321	Taxonomic	sample_91
S092 	2.34403754044152	-3.69009060729977	Taxonomic	sample_92
S093 	1.41007727027121	-2.15307936788097	Taxonomic	sample_93
S094 	1.62547578204797	2.91287849688588	Taxonomic	sample_94
S095 	-5.55460256463987	-4.17229833632832	Taxonomic	sample_95
S096 	-5.16628008779181	-0.467173183153855	Taxonomic	sample_96
S097 	4.11552583636199	-3.35485707586506	Taxonomic	sample_97
S098 	-5.55815068393883	-3.48687315345467	Taxonomic	sample_98
S099 	-5.2898290270184	1.45255159517335	Taxonomic	sample_99
S100 	0.0890273675175387	-7.35384094882043	Taxonomic	sample_100
S101	-8.24360519356428	0.0107742110872815	Sequence	sample_1
S102	-4.84135414767479	0.849453346643813	Sequence	sample_2
S103	7.64230525660812	1.6490131662637	Sequence	sample_3
S104	4.53011266737233	-1.17045966799444	Sequence	sample_4
S105	-0.727148680426913	6.65576019483292	Sequence	sample_5
S106	-1.50230305646264	2.48869716392384	Sequence	sample_6
S107	5.8028008065007	4.34441862232077	Sequence	sample_7
S108	0.873639579802212	-3.96369452544571	Sequence	sample_8
S109	-0.735502975755692	-5.33837597325273	Sequence	sample_9
S110	1.57467490397812	0.725236017979482	Sequence	sample_10
S111	-4.47775486708479	-0.817131696970645	Sequence	sample_11
S112	1.97097967598746	-4.4566336998008	Sequence	sample_12
S113	3.23116588231346	0.307318075638607	Sequence	sample_13
S114	-1.16885637867797	-1.61056114020658	Sequence	sample_14
S115	7.69735567928425	1.83984682826695	Sequence	sample_15
S116	-1.66986505661853	0.686457839736097	Sequence	sample_16
S117	1.98076078865969	6.05919363689495	Sequence	sample_17
S118	-8.26694414366636	-0.112330750355908	Sequence	sample_18
S119	2.17202338690751	-2.05959654163467	Sequence	sample_19
S120	2.70685029464476	-1.20530986884122	Sequence	sample_20
S121	-4.42512395860832	3.61142390126013	Sequence	sample_21
S122	2.63912377219584	-5.99751612033117	Sequence	sample_22
S123	-0.1395298768684	2.71104866080619	Sequence	sample_23
S124	-2.24926847288238	6.35228490975815	Sequence	sample_24
S125	3.36525941410706	2.93988052501351	Sequence	sample_25
S126	0.298015124071267	-4.60471048175159	Sequence	sample_26
S127	0.844513408513635	-1.52839095492625	Sequence	sample_27
S128	0.24854191588824	3.67099752570028	Sequence	sample_28
S129	0.175511012355649	0.730140394092312	Sequence	sample_29
S130	7.51874989281194	2.66363627664544	Sequence	sample_30
S131	6.47203365902571	-4.41638405653219	Sequence	sample_31
S132	-0.1565350868458	1.19528237112295	Sequence	sample_32
S133	1.98649421668747	-5.44911625107413	Sequence	sample_33
S134	-1.76840848092519	-3.08961923016128	Sequence	sample_34
S135	1.05642441407035	2.59063508216845	Sequence	sample_35
S136	-3.0922249792865	1.25009443013787	Sequence	sample_36
S137	-8.1353181088458	-2.2150630077911	Sequence	sample_37
S138	1.39477063864443	-4.68559586489606	Sequence	sample_38
S139	-3.97602447102935	-2.65529935342397	Sequence	sample_39
S140	-3.98347131532473	5.15564529741572	Sequence	sample_40
S141	-2.15706623868097	-3.0262998225327	Sequence	sample_41
S142	-1.66648442998517	4.12305936436299	Sequence	sample_42
S143	-2.18054177432507	0.945252628817395	Sequence	sample_43
S144	-1.74276351273269	-4.38276619625789	Sequence	sample_44
S145	4.17735807716729	4.61270849929052	Sequence	sample_45
S146	1.9555739422135	-3.27478928304048	Sequence	sample_46
S147	-1.76788477684158	2.64116773854338	Sequence	sample_47
S148	-5.25493012676985	-3.30392306064894	Sequence	sample_48
S149	-2.50538535996492	-2.06720945779618	Sequence	sample_49
S150	6.76219249788192	-0.509274309383035	Sequence	sample_50
S151	-5.84943340558114	2.97116867127861	Sequence	sample_51
S152	-0.355914075878974	-3.3549976563965	Sequence	sample_52
S153	7.36906261863949	0.763839706173533	Sequence	sample_53
S154	-0.167782198002288	-0.717686924008528	Sequence	sample_54
S155	6.65412051593998	-4.33065305148727	Sequence	sample_55
S156	-2.31682522949953	-5.54064571802845	Sequence	sample_56
S157	-5.01936024115306	-5.39239593431265	Sequence	sample_57
S158	2.93333259166428	2.87261318912211	Sequence	sample_58
S159	7.49990989681013	-3.1353686320776	Sequence	sample_59
S160	-5.03587604923887	-1.20811996406913	Sequence	sample_60
S161	0.0800261009210367	-1.80318853944408	Sequence	sample_61
S162	-7.6910492605573	-1.94130770451561	Sequence	sample_62
S163	4.64161024070425	1.97894267405298	Sequence	sample_63
S164	2.56395291102484	-0.0848643984815969	Sequence	sample_64
S165	-4.6972010752315	-5.32659002264085	Sequence	sample_65
S166	-1.01124524475822	0.462519693901345	Sequence	sample_66
S167	-4.1291734836518	-4.67729443349569	Sequence	sample_67
S168	-0.788643206431222	4.48659908092282	Sequence	sample_68
S169	5.44209343138421	4.48447395765778	Sequence	sample_69
S170	4.68324647825536	-2.20523364338796	Sequence	sample_70
S171	-2.7183040606905	2.69017489690984	Sequence	sample_71
S172	-6.3167912937951	0.103523704025499	Sequence	sample_72
S173	5.17002346658019	2.25444710533953	Sequence	sample_73
S174	1.01921303554803	3.49282017333298	Sequence	sample_74
S175	-3.47380752894107	-0.345000710624463	Sequence	sample_75
S176	1.23812685254326	-1.22570090823617	Sequence	sample_76
S177	2.75838147793692	4.7007949231426	Sequence	sample_77
S178	0.300418915484299	5.34816117250536	Sequence	sample_78
S179	-2.44192837807794	-0.441468877435891	Sequence	sample_79
S180	0.748421143214716	-2.52888603086313	Sequence	sample_80
S181	-3.45755477942906	-1.47933311982841	Sequence	sample_81
S182	-3.8873284847358	3.56311871627523	Sequence	sample_82
S183	2.13521753667443	5.37271608014282	Sequence	sample_83
S184	-0.984640159784492	-0.12165312575689	Sequence	sample_84
S185	1.36519030296823	0.775181411486029	Sequence	sample_85
S186	-3.91071677491777	-2.83789378120474	Sequence	sample_86
S187	-6.0126139187504	3.03474322338915	Sequence	sample_87
S188	2.71911997154059	2.49782340610587	Sequence	sample_88
S189	5.35923177012436	5.30034138005372	Sequence	sample_89
S190	-4.71569298967247	1.16250307978929	Sequence	sample_90
S191	-7.89595667106254	-2.7767064865528	Sequence	sample_91
S192	5.34336589391994	-2.46176365812974	Sequence	sample_92
S193	-5.37460515036962	4.2055993579383	Sequence	sample_93
S194	2.53187015880303	-1.59506206380976	Sequence	sample_94
S195	3.81318119741788	-4.19608839283601	Sequence	sample_95
S196	4.50520222844363	0.0824931801638805	Sequence	sample_96
S197	-6.02054363712109	-3.91859662908239	Sequence	sample_97
S198	4.20584976928425	-4.04682109778206	Sequence	sample_98
S199	1.80297292869882	4.12027479196874	Sequence	sample_99
S200	5.14691042496134	2.09907253513635	Sequence	sample_100
