SpeciesID	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10
Lactococcus_lactis	0	0	0	0.00672669717943298	0	0	0	0	0	0
Streptococcus_agalactiae	0	0	0.0173904173677098	0.000828131431502573	0	0	0	0	0	0
Streptococcus_mutans	0	0	0	0	0	0	0.00356684390341721	0	0	0
Bifidobacterium_longum	0	0	0	0	0	0	0	0	0	0
Staphylococcus_epidermidis	0	0	0	0	0	0.0123826802580815	0.0315105391984271	0	0	0
Cutibacterium_acnes	0	0	0	0.00107672872913777	0	0	0.00614864494187835	0	0.00708979215315806	0
Helicobacter_pylori	0	0	0	0	0	0	0	0	0	0
Clostridioides_difficile	0.00862137333092312	0	0	0	0	0.00712809612854381	0	0	0	0
Bacteroides_fragilis	0	0	0.00692163375392039	0	0	0	0	0	0	0
Lactobacillus_fermentum	0	0	0	0	0	0	0	0	0	0
Finegoldia_magna	0	0	0	0.00117935999009496	0	0	0	0	0	0
Bifidobacterium_adolescentis	0	0	0	0.0153032435901138	0	0	0	0	0	0
Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0
Lactobacillus_acidophilus	0	0	0	0.00233879157823406	0	0	0	0	0	0
Methanosphaera_stadtmanae	0	0	0	0	0	0	0	0	0	0
Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0.00972668744055512	0
Clostridium_perfringens	0	0	0.0036563802056857	0.0978587128186017	0	0	0	0	0	0
Streptococcus_sanguinis	0	0	0	0	0	0.0117838414791279	0	0	0	0
Leuconostoc_mesenteroides	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0
Lactobacillus_reuteri	0	0	0	0	0	0	0	0	0	0
Streptococcus_gordonii	0	0.000933170263914371	0	0	0	0	0	0	0	0
Campylobacter_hominis	0	0	0	0	0.00194046592121416	0	0	0	0	0
Clostridium_botulinum	0	0	0.0436180634607407	0	0.0156966511826105	0	0	0	0.00878062163043632	0
Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0
Eubacterium_rectale	0	0	0	0	0	0.00720760229951312	0	0	0.0131558494880351	0
Bifidobacterium_animalis	0	0	0	0	0	0.00359880202178935	0	0	0	0
Desulfovibrio_desulfuricans	0	0	0	0.0198605650925281	0	0	0	0	0	0
Aggregatibacter_aphrophilus	0	0	0	0	0	0	0	0	0	0
Atopobium_parvulum	0	0	0	0	0	0	0	0	0	0
Eggerthella_lenta	0	0	0	0	0.0194900494039843	0	0	0	0	0
Veillonella_parvula	0.00104263371865755	0	0.00336635235928458	0	0.00949091914303154	0	0	0	0	0
Gardnerella_vaginalis	0	0	0.00246132760497974	0	0	0	0	0	0	0
Lactobacillus_casei	0	0	0	0	0	0	0	0	0.00975672292100267	0
Lactobacillus_rhamnosus	0	0	0	0	0	0	0	0	0	0
Haemophilus_influenzae	0	0	0	0	0	0	0	0	0	0
Mycoplasma_hominis	0	0	0	0.00277260918064033	0	0.000347774125249374	0.00130779647741231	0	0	0.000810361676454928
Lactobacillus_crispatus	0	0	0	0	0	0	0	0	0	0
Prevotella_melaninogenica	0	0	0.00291895653800587	0	0	0	0	0	0	0
Clostridium_saccharolyticum	0	0	0	0.0169270195970553	0	0	0.095906019171036	0	0	0
Eubacterium_eligens	0	0	0	0	0	0	0.00335152057519099	0	0	0.0131378024006663
Peptostreptococcus_stomatis	0	0	0	0	0	0	0	0	0	0
