ID	PCOA1	PCOA2	Abd_type	SampleID
S001	-0.024126640942156	-0.053231757485083	Taxonomic	sample_1
S002	-0.0412597025342773	-0.0805305023510326	Taxonomic	sample_2
S003	-0.0638688619905765	0.0490947550679716	Taxonomic	sample_3
S004	0.204136152600264	-0.0288808028833749	Taxonomic	sample_4
S005	0.102416295577972	-0.0459758519782768	Taxonomic	sample_5
S006	0.00164017876700724	0.0107356382365582	Taxonomic	sample_6
S007	-0.00581750799869532	-0.00926019727175325	Taxonomic	sample_7
S008	0.0389016829924073	0.0129136009881137	Taxonomic	sample_8
S009	-0.0233886438897909	-0.00472011980352589	Taxonomic	sample_9
S010	0.0724976523211866	-0.016531630610791	Taxonomic	sample_10
S011	0.0583283018265723	-0.0658288753616761	Taxonomic	sample_11
S012	-0.0333883301628607	0.034063351730058	Taxonomic	sample_12
S013	0.0851423649541408	0.124208862795691	Taxonomic	sample_13
S014	-0.226041800491865	-0.0106517327839349	Taxonomic	sample_14
S015	-0.0444992718710506	-0.00561189022289766	Taxonomic	sample_15
S016	-0.0549218088809178	-0.0520152296425618	Taxonomic	sample_16
S017	0.0432089340091118	-0.161787930427037	Taxonomic	sample_17
S018	0.00244140889759385	-0.0981192632059275	Taxonomic	sample_18
S019	0.0702773012209019	0.00820711701227641	Taxonomic	sample_19
S020	-0.0951031877567618	-0.0252764385641213	Taxonomic	sample_20
S021	-0.0151384702446864	-0.0222527287296125	Taxonomic	sample_21
S022	0.0129362184636546	0.00648685736714497	Taxonomic	sample_22
S023	-0.0762651060496931	0.0983013439733595	Taxonomic	sample_23
S024	0.0296968646103642	0.0727627341305076	Taxonomic	sample_24
S025	0.0228659859224339	-0.0425752103668421	Taxonomic	sample_25
S026	-0.0171840243494679	0.0394784862209397	Taxonomic	sample_26
S027	-0.0363439092984159	-0.035295045883262	Taxonomic	sample_27
S028	-0.012551544759785	-0.00498829943830854	Taxonomic	sample_28
S029	0.15187265027066	-0.0716050591555401	Taxonomic	sample_29
S030	-0.108593464492324	-0.108544359207179	Taxonomic	sample_30
S031	0.0299949744743044	0.0784196098255757	Taxonomic	sample_31
S032	0.010841239258257	-0.00484491129028758	Taxonomic	sample_32
S033	0.0623616601574357	0.234351004965267	Taxonomic	sample_33
S034	0.0357833150606828	0.00966262259173159	Taxonomic	sample_34
S035	0.079255967878493	0.0418566954421778	Taxonomic	sample_35
