ID	NMDS1	NMDS2	Abd_type	SampleID
S001	-0.124667025637868	0.00930508292350955	Taxonomic	sample_1
S002	0.0408494270827136	0.00270662227911453	Taxonomic	sample_2
S003	-0.116622030501724	0.0229033836168206	Taxonomic	sample_3
S004	0.0806152960777167	-0.1349531828067	Taxonomic	sample_4
S005	-0.10289659106248	-0.0956186064278068	Taxonomic	sample_5
S006	-0.0528782152947808	0.0698684987986729	Taxonomic	sample_6
S007	0.0741850496154749	0.0105806885133019	Taxonomic	sample_7
S008	-0.0701143289074999	0.0515053210444018	Taxonomic	sample_8
S009	0.027862823063367	-0.0956397767822662	Taxonomic	sample_9
S010	0.0204708919810618	0.0166465154631152	Taxonomic	sample_10
S011	0.0205937051538872	-0.0128861909963531	Taxonomic	sample_11
S012	0.0784693426329871	0.0335294223242771	Taxonomic	sample_12
S013	-0.0748122026051607	-0.0487853812081016	Taxonomic	sample_13
S014	-0.0189717146463911	0.0594642312494844	Taxonomic	sample_14
S015	-0.0522262010292946	-0.0316615437783265	Taxonomic	sample_15
S016	0.0293397260125427	-0.063452938862804	Taxonomic	sample_16
S017	-0.0343065699345803	-0.057934627603624	Taxonomic	sample_17
S018	0.000712761211494784	-0.146500420941653	Taxonomic	sample_18
S019	0.0938253900312094	-0.0446192690486031	Taxonomic	sample_19
S020	0.131535940915318	0.00888794415647432	Taxonomic	sample_20
S021	-0.108231419234423	0.0681267970985965	Taxonomic	sample_21
S022	-0.0142796808861741	0.124123210787157	Taxonomic	sample_22
S023	-0.00713078126903045	-0.0495602731461254	Taxonomic	sample_23
S024	-0.0336277268044961	-0.0812934526210576	Taxonomic	sample_24
S025	0.0202775688971887	0.109925852750147	Taxonomic	sample_25
S026	0.0451085550225711	-0.0422393214962056	Taxonomic	sample_26
S027	0.0855360868727584	-0.00866263225945161	Taxonomic	sample_27
S028	0.00119105290151883	0.107325997122804	Taxonomic	sample_28
S029	0.037399708736669	-0.0546150916909136	Taxonomic	sample_29
S030	-0.048986194376339	0.0902450388393513	Taxonomic	sample_30
S031	0.0020633864572181	-0.0870386405281407	Taxonomic	sample_31
S032	0.100863746494143	0.0661605995406594	Taxonomic	sample_32
S033	-0.0106779161794437	0.00752679461370156	Taxonomic	sample_33
S034	0.0773583746411706	-0.0880874157674711	Taxonomic	sample_34
S035	-0.0228906670313156	-0.00828099791361921	Taxonomic	sample_35
S036	0.116930835022099	0.0236406328002177	Taxonomic	sample_36
S037	0.0875198540570753	-0.0712131409486062	Taxonomic	sample_37
S038	-0.0869903333068618	0.00537114487547617	Taxonomic	sample_38
S039	0.0109641370070851	0.0566933576133648	Taxonomic	sample_39
S040	0.106589285358413	0.0557432969592083	Taxonomic	sample_40
S041	0.0252387093830968	-0.116579328251172	Taxonomic	sample_41
S042	0.0431905601780504	0.0266563050581545	Taxonomic	sample_42
S043	-0.0543332462121289	0.13097474849887	Taxonomic	sample_43
S044	-0.0017756984051811	0.0482345101447325	Taxonomic	sample_44
S045	-0.0325150618059563	0.0920836980270212	Taxonomic	sample_45
S046	-0.115742310628735	-0.0361613161956639	Taxonomic	sample_46
S047	0.055729465474595	-0.00979382336907558	Taxonomic	sample_47
S048	-0.00233470396772742	-0.0694359253280707	Taxonomic	sample_48
S049	-0.0822769408446617	-0.0150491186461676	Taxonomic	sample_49
S050	-0.0574475140756463	-0.0732720354985342	Taxonomic	sample_50
S051	0.0381110261682127	0.0562573125935455	Taxonomic	sample_51
S052	0.0013727009801308	0.0229145286312423	Taxonomic	sample_52
S053	0.0253432652764511	0.0337057345939755	Taxonomic	sample_53
S054	-0.0446154502449421	-0.128496500155236	Taxonomic	sample_54
S055	-0.135731284499389	-0.0265108299289925	Taxonomic	sample_55
S056	0.0606506635220167	0.12692583401793	Taxonomic	sample_56
S057	0.0941301206294102	0.0869174827807472	Taxonomic	sample_57
S058	0.135624476265394	-0.0173377298111924	Taxonomic	sample_58
S059	-0.0385658946522677	-0.0384344838261096	Taxonomic	sample_59
S060	-0.0194502062475377	0.0262591355121851	Taxonomic	sample_60
S061	-0.0372839900307542	0.0319737844737784	Taxonomic	sample_61
S062	0.015871267678877	0.0917147882465164	Taxonomic	sample_62
S063	-0.0577952517667037	-0.0532107818658388	Taxonomic	sample_63
S064	0.0406196422793937	-0.0233211004728651	Taxonomic	sample_64
S065	0.0459587408301635	0.0753040123316642	Taxonomic	sample_65
S066	-0.11095085988857	0.035809293935384	Taxonomic	sample_66
S067	0.0978351362437662	-0.0660165040430303	Taxonomic	sample_67
S068	0.000503089459444584	-0.113829717194666	Taxonomic	sample_68
S069	-0.0828220357682967	0.0160815173796689	Taxonomic	sample_69
S070	-0.0570615369540836	-0.1241956127624	Taxonomic	sample_70
S071	-0.0476910606185378	0.0451627450400944	Taxonomic	sample_71
