ID	PCOA1	PCOA2	Abd_type	SampleID
S001	0.0615662134633894	0.178549106239519	Taxonomic	sample_1
S002	-1.19605748095731	-1.50821086826383	Taxonomic	sample_2
S003	-0.933307477411992	0.502735659127689	Taxonomic	sample_3
S004	2.04064480629084	-0.444437332399025	Taxonomic	sample_4
S005	1.05736251162524	1.86972987280026	Taxonomic	sample_5
S006	1.39608808813848	-0.685010204409687	Taxonomic	sample_6
S007	-0.902143331330977	0.510253817293495	Taxonomic	sample_7
S008	-0.951310932382233	0.0604397480108208	Taxonomic	sample_8
S009	0.0579312618500185	0.642912187821572	Taxonomic	sample_9
S010	-0.0941043478850411	-0.141932489042473	Taxonomic	sample_10
S011	0.980302383694639	-0.776861599701635	Taxonomic	sample_11
S012	-0.993445174620149	0.525601209818149	Taxonomic	sample_12
S013	-0.730700630382228	1.03418570470928	Taxonomic	sample_13
S014	1.09244850976089	0.388181232475142	Taxonomic	sample_14
S015	-1.05541468320064	-0.867573678753984	Taxonomic	sample_15
S016	-0.405211752317756	1.00058167158379	Taxonomic	sample_16
S017	1.60583467670391	1.14148575933577	Taxonomic	sample_17
S018	0.943504738284367	1.33071756166814	Taxonomic	sample_18
S019	0.674708717206068	0.0695752680645366	Taxonomic	sample_19
S020	2.01327873332184	2.03458863982576	Taxonomic	sample_20
S021	0.037950754669931	-1.78140712252631	Taxonomic	sample_21
S022	-0.215492171283388	0.547594922886478	Taxonomic	sample_22
S023	-0.691369757646834	0.313841688959092	Taxonomic	sample_23
S024	0.57432848643835	0.0650051016648134	Taxonomic	sample_24
S025	1.55379561997665	-0.371671055184733	Taxonomic	sample_25
S026	0.240711115492126	1.47269671036725	Taxonomic	sample_26
S027	-3.0307446195717	-1.24735265814849	Taxonomic	sample_27
S028	-2.35175978917683	-0.0685062770811297	Taxonomic	sample_28
S029	-0.467279557715319	-0.497633348158007	Taxonomic	sample_29
S030	1.59845120213166	-0.760998832981657	Taxonomic	sample_30
S031	1.14514314070148	1.10958236287799	Taxonomic	sample_31
S032	1.31541342001094	-2.81649512920785	Taxonomic	sample_32
S033	-0.769615995813482	-0.181803421536466	Taxonomic	sample_33
S034	1.16023267255471	-0.295671039937256	Taxonomic	sample_34
S035	-1.56469760770852	0.954844501490621	Taxonomic	sample_35
S036	-0.857943213570835	0.256353955467896	Taxonomic	sample_36
S037	-0.629702352088279	0.290180765165377	Taxonomic	sample_37
S038	-1.68669075194492	-0.930848815608481	Taxonomic	sample_38
S039	-0.371823670637417	-0.0462721579861072	Taxonomic	sample_39
S040	0.171586229053031	0.842819397139848	Taxonomic	sample_40
S041	0.244773403970441	1.43786207938777	Taxonomic	sample_41
S042	-0.645949741496586	-0.167954400590406	Taxonomic	sample_42
S043	-0.151347223830096	0.681385792154801	Taxonomic	sample_43
S044	-0.321425124120394	-0.877344467687303	Taxonomic	sample_44
S045	-1.13358083285612	-0.276529116038972	Taxonomic	sample_45
S046	0.681532430113144	0.170074829307547	Taxonomic	sample_46
S047	-1.27589082152135	-1.73338564168018	Taxonomic	sample_47
S048	-0.157767632615104	-1.19401826151998	Taxonomic	sample_48
S049	-0.334512981312883	0.902426320692796	Taxonomic	sample_49
S050	-1.75482430635994	0.928467210247572	Taxonomic	sample_50
S051	-0.670205437607777	0.774247919204145	Taxonomic	sample_51
S052	0.546541598516721	-0.70714771805822	Taxonomic	sample_52
S053	-0.921800671395558	-0.670236806164706	Taxonomic	sample_53
S054	1.00548263194448	-1.38005786466103	Taxonomic	sample_54
S055	-0.814378706351265	0.552882248564887	Taxonomic	sample_55
S056	0.918352999267368	-0.0883356990703404	Taxonomic	sample_56
S057	1.32544620475152	-0.201288269842419	Taxonomic	sample_57
S058	-0.031475382492884	0.686054356699691	Taxonomic	sample_58
S059	-0.432473816230212	0.00938546277169594	Taxonomic	sample_59
S060	-0.0889369998825505	-0.172912058517721	Taxonomic	sample_60
S061	0.0826423980242878	0.376595289170752	Taxonomic	sample_61
S062	0.226380346576023	0.628997535066768	Taxonomic	sample_62
S063	2.3104607175608	-0.378558581125589	Taxonomic	sample_63
S064	-0.705336303635087	-0.0261069615787652	Taxonomic	sample_64
S065	-0.622082103688371	0.837870258845015	Taxonomic	sample_65
S066	0.648283914693819	-0.64184678739318	Taxonomic	sample_66
S067	0.712708947026921	-1.27454028777928	Taxonomic	sample_67
S068	0.630367307251473	-0.273415795821897	Taxonomic	sample_68
S069	0.484984658987666	-0.281935958754346	Taxonomic	sample_69
S070	1.13261775232877	-0.0824952470533315	Taxonomic	sample_70
S071	0.6368211488686	-0.839048141750101	Taxonomic	sample_71
S072	-0.300702587475849	2.4862729831656	Taxonomic	sample_72
S073	-2.23767437771052	0.99692778250523	Taxonomic	sample_73
S074	-0.494148925505688	1.10417343132923	Taxonomic	sample_74
S075	0.882419799716156	1.24330229822555	Taxonomic	sample_75
S076	-0.929111576977411	-2.3709123137693	Taxonomic	sample_76
S077	-0.834933489334973	1.25744014338912	Taxonomic	sample_77
S078	0.573871100607873	-0.581909468864186	Taxonomic	sample_78
S079	1.89784947915476	-1.04161661467199	Taxonomic	sample_79
S080	1.110791185537	0.086133043516568	Taxonomic	sample_80
S081	1.26481062667364	0.856832686520301	Taxonomic	sample_81
S082	-0.160158551481397	-0.65267988716482	Taxonomic	sample_82
S083	-0.944170331004369	-1.51262939527816	Taxonomic	sample_83
S084	-1.44833080985377	-0.162030238806615	Taxonomic	sample_84
S085	-0.383602555349267	0.982895164515311	Taxonomic	sample_85
S086	-1.38618007419964	-1.80422090112359	Taxonomic	sample_86
S087	-0.82725022879912	1.85676182726031	Taxonomic	sample_87
S088	0.534669588584527	1.43989140984906	Taxonomic	sample_88
S089	-0.72341756196233	-0.0724605091222209	Taxonomic	sample_89
S090	-0.482102287001304	-1.18947045891573	Taxonomic	sample_90
S091	-1.3768036611597	0.692281226204128	Taxonomic	sample_91
S092	0.466668481135996	-2.39506454270434	Taxonomic	sample_92
S093	0.513073397323582	0.49389867216546	Taxonomic	sample_93
S094	1.34235317727418	0.962647922465443	Taxonomic	sample_94
S095	1.13767160564167	-1.73811295174724	Taxonomic	sample_95
S096	-0.167184832936553	0.775487020321718	Taxonomic	sample_96
S097	0.0548380428439923	-0.181125184286909	Taxonomic	sample_97
S098	-0.598945356516897	-1.85359875074802	Taxonomic	sample_98
S099	1.9580689996264	-1.18029664223648	Taxonomic	sample_99
S100	0.209755364940451	1.06232019711474	Taxonomic	sample_100
S001.1	-1.31608719777705	-0.38260599760661	Sequence	sample_1
S002.1	-0.858735056689166	0.883943384807293	Sequence	sample_2
S003.1	-1.6796956944802	-0.245349643139999	Sequence	sample_3
S004.1	1.62540951921415	-0.0775194636529187	Sequence	sample_4
S005.1	0.779514708630999	-1.26051659646809	Sequence	sample_5
S006.1	0.744252069115956	0.291255644849817	Sequence	sample_6
S007.1	-0.871624962779935	-0.739750562664828	Sequence	sample_7
S008.1	0.418120432849473	0.331870615049714	Sequence	sample_8
S009.1	0.19643866095214	0.281043213553188	Sequence	sample_9
S010.1	0.56989227426491	1.92479387942513	Sequence	sample_10
S011.1	0.986312947978352	0.13228915340786	Sequence	sample_11
S012.1	-0.562742882913762	-1.24672321989246	Sequence	sample_12
S013.1	0.508894720527006	0.499491111805376	Sequence	sample_13
S014.1	1.73070331657906	0.0560080885420534	Sequence	sample_14
S015.1	-0.621036451264444	0.855958056784085	Sequence	sample_15
S016.1	0.192736433602436	-1.00014212399226	Sequence	sample_16
S017.1	1.83720806658208	-0.408292660889482	Sequence	sample_17
S018.1	1.45857850017123	-1.38141601393699	Sequence	sample_18
S019.1	0.840413643178007	0.886533628314611	Sequence	sample_19
S020.1	1.2522955954677	-2.893988135768	Sequence	sample_20
S021.1	0.273548775336768	1.09889542854807	Sequence	sample_21
S022.1	0.33937370044303	-0.748328693048085	Sequence	sample_22
S023.1	-0.235387542031834	-0.794064229670374	Sequence	sample_23
S024.1	-0.071686669994624	0.322800456158353	Sequence	sample_24
S025.1	1.28152631743651	0.586948594547727	Sequence	sample_25
S026.1	0.318553724616394	-2.47528273078802	Sequence	sample_26
S027.1	-1.79219655250703	2.34712245726385	Sequence	sample_27
S028.1	-2.06780441019574	-0.593938972717178	Sequence	sample_28
S029.1	0.0430686528542473	0.845704169253282	Sequence	sample_29
S030.1	0.73746139882628	1.31577957968604	Sequence	sample_30
S031.1	1.09999181234067	-1.63718202603516	Sequence	sample_31
S032.1	2.10458006474087	1.45147580411135	Sequence	sample_32
S033.1	0.00242153746732101	0.756627701651963	Sequence	sample_33
S034.1	1.45825268119123	0.699151113675311	Sequence	sample_34
S035.1	-0.707219269026789	-1.27118032367777	Sequence	sample_35
S036.1	-0.608737411434928	1.02830233903593	Sequence	sample_36
S037.1	-0.172480569220619	0.0123232186792672	Sequence	sample_37
S038.1	-1.87103957117957	1.58149673992976	Sequence	sample_38
S039.1	-0.125682967360926	0.393435952815966	Sequence	sample_39
S040.1	0.708798812243821	-0.0987850099716908	Sequence	sample_40
S041.1	1.23453880716807	-1.21414345931809	Sequence	sample_41
S042.1	-1.64019766701264	-0.448043789136018	Sequence	sample_42
S043.1	0.209280630779863	-0.494846633833684	Sequence	sample_43
S044.1	-0.0902474937331439	0.79357713248327	Sequence	sample_44
S045.1	-1.59293299178307	-1.28884292111153	Sequence	sample_45
S046.1	0.822682498262467	-0.175401084701907	Sequence	sample_46
S047.1	-2.15168667562772	1.13014138519924	Sequence	sample_47
S048.1	-0.0819658619397405	0.804472367552021	Sequence	sample_48
S049.1	-1.06621954664776	-0.000434259349420701	Sequence	sample_49
S050.1	-2.02372256497124	-0.951089500954771	Sequence	sample_50
S051.1	-0.346425752017767	-0.516006094908362	Sequence	sample_51
S052.1	-0.612269613251053	-0.484881588711453	Sequence	sample_52
S053.1	-0.163347073842551	0.201952862571686	Sequence	sample_53
S054.1	0.0982588320373908	0.897519021252439	Sequence	sample_54
S055.1	-1.17183853328236	-1.576496305628	Sequence	sample_55
S056.1	0.0266142955932066	0.56653658660092	Sequence	sample_56
S057.1	0.694252710636311	0.0163689160943132	Sequence	sample_57
S058.1	-0.121156845361859	-2.15194213816647	Sequence	sample_58
S059.1	-0.0663534767945839	0.450670216647478	Sequence	sample_59
S060.1	0.81167681526371	0.888902368547324	Sequence	sample_60
S061.1	-0.690538963851856	0.198737464932949	Sequence	sample_61
S062.1	-0.225188186091891	0.292983937786462	Sequence	sample_62
S063.1	2.21752827872741	0.35735188483075	Sequence	sample_63
S064.1	-0.122212993173819	-0.452701971072525	Sequence	sample_64
S065.1	-1.25256764330972	-0.786124671136249	Sequence	sample_65
S066.1	1.23621315843784	0.0897376523264394	Sequence	sample_66
S067.1	-0.664398618478152	0.0983945936511391	Sequence	sample_67
S068.1	-0.170611940427155	-0.374405485399271	Sequence	sample_68
S069.1	0.753892614419862	0.157864345110321	Sequence	sample_69
S070.1	1.0760914140718	1.02114061471659	Sequence	sample_70
S071.1	1.10566567303234	1.39594245726015	Sequence	sample_71
S072.1	0.075043531574004	-1.39407145177293	Sequence	sample_72
S073.1	-1.63276453177891	-0.913916444457299	Sequence	sample_73
S074.1	-1.29666324680822	0.234959937874799	Sequence	sample_74
S075.1	1.22278615954952	-0.47917685906773	Sequence	sample_75
S076.1	-1.53386087744111	1.68665810771351	Sequence	sample_76
S077.1	-1.0453239749377	0.238182416422784	Sequence	sample_77
S078.1	0.571682255942646	0.603603392376329	Sequence	sample_78
S079.1	1.64360768707562	0.179661089777667	Sequence	sample_79
S080.1	-0.323613041671039	-1.29139732486145	Sequence	sample_80
S081.1	1.03398678346582	-0.966426873868412	Sequence	sample_81
S082.1	-0.228488236734129	0.991531315842917	Sequence	sample_82
S083.1	-0.94203872133584	0.855816790831848	Sequence	sample_83
S084.1	-1.39766448259702	1.07896333553847	Sequence	sample_84
S085.1	0.156870814270851	-0.750963190235379	Sequence	sample_85
S086.1	-1.1642866997656	0.993855105063373	Sequence	sample_86
S087.1	-0.940278471781909	-2.35534422897368	Sequence	sample_87
S088.1	-0.0588553715972003	-0.938900031055982	Sequence	sample_88
S089.1	-0.0752439656028143	1.48171664769241	Sequence	sample_89
S090.1	-0.468330102377502	0.782071308290589	Sequence	sample_90
S091.1	-0.834571577920231	-0.623126775385833	Sequence	sample_91
S092.1	-0.316472986675879	0.49023828974707	Sequence	sample_92
S093.1	-0.85836564137689	-0.788491425091141	Sequence	sample_93
S094.1	1.5492127101742	-0.512654500339158	Sequence	sample_94
S095.1	1.45751759012303	1.12909544671968	Sequence	sample_95
S096.1	1.28036748217191	-1.09906560509934	Sequence	sample_96
S097.1	-1.36328711435743	0.212616725749738	Sequence	sample_97
S098.1	0.337864245521327	1.76862954881583	Sequence	sample_98
S099.1	1.28829450391584	1.08613955788032	Sequence	sample_99
S100.1	-0.116129163611535	-1.47532213824082	Sequence	sample_100
