ID	UMAP1	UMAP2	Abd_type	SampleID
S001	0.442792836378158	0.462963509477807	Taxonomic	sample_1
S002	1.86334853974318	0.0313375201855563	Taxonomic	sample_2
S003	-0.0241277148204994	1.52848920284661	Taxonomic	sample_3
S004	0.258374865773602	0.864546650239973	Taxonomic	sample_4
S005	-2.09788173437045	-0.307791579206116	Taxonomic	sample_5
S006	-0.432183185560734	1.63695286945843	Taxonomic	sample_6
S007	0.467757918478968	1.21879010571835	Taxonomic	sample_7
S008	0.00365732811941222	-0.323273785855309	Taxonomic	sample_8
S009	-0.275350338292284	-1.39169499645442	Taxonomic	sample_9
S010	-1.25705338029287	0.697580528785634	Taxonomic	sample_10
S011	1.18785759038298	1.50813676506822	Taxonomic	sample_11
S012	-0.254155254613498	-0.206292614109236	Taxonomic	sample_12
S013	-2.1080171424993	-1.18164317746702	Taxonomic	sample_13
S014	-1.05267967952042	1.50311539500381	Taxonomic	sample_14
S015	2.13256451715322	-0.162683078776861	Taxonomic	sample_15
S016	-0.400585847381428	1.05683234985338	Taxonomic	sample_16
S017	0.0828654441154308	-2.00449314962266	Taxonomic	sample_17
S018	-0.314407590926137	-1.99190455443313	Taxonomic	sample_18
S019	-0.88377255818556	1.95653060272681	Taxonomic	sample_19
S020	-0.0292171390004339	-0.778608415309495	Taxonomic	sample_20
S021	1.37133578101395	0.390619966743521	Taxonomic	sample_21
S022	-2.25197166247802	-0.956470179227881	Taxonomic	sample_22
S023	0.78331789094834	1.03127900381204	Taxonomic	sample_23
S024	0.773210512550351	-0.0922844922661042	Taxonomic	sample_24
S025	-1.36080494064009	-0.126188777984426	Taxonomic	sample_25
S026	1.25119542355267	-0.64386144473171	Taxonomic	sample_26
S027	1.42073985849747	-0.134240140041609	Taxonomic	sample_27
S028	1.52767255966759	1.14685046355854	Taxonomic	sample_28
S029	-0.600202064504134	0.0456618643669379	Taxonomic	sample_29
S030	0.169580273939022	1.5980578238997	Taxonomic	sample_30
S031	0.7019819790462	-1.0834393715212	Taxonomic	sample_31
S032	0.693715778270805	1.28337738193664	Taxonomic	sample_32
S033	1.94308999152884	-0.379881110970002	Taxonomic	sample_33
S034	0.164736360718623	-1.97329248427529	Taxonomic	sample_34
S035	-1.00876866681285	0.156679069893136	Taxonomic	sample_35
S036	-0.529261124093139	-0.807546649018227	Taxonomic	sample_36
S037	-0.261098018189797	0.32459504619241	Taxonomic	sample_37
S038	2.20441503516972	-0.522645810447527	Taxonomic	sample_38
S039	0.506875152060718	-0.312494201193049	Taxonomic	sample_39
S040	-0.727292350701824	1.97271987997049	Taxonomic	sample_40
S041	-0.760265094529744	0.182424509173087	Taxonomic	sample_41
S042	-0.914076577250117	-0.611584795526368	Taxonomic	sample_42
S043	-1.75268920856035	0.464886800940649	Taxonomic	sample_43
S044	0.867578076210462	0.772933075970876	Taxonomic	sample_44
S045	0.134597836608225	0.190559023780395	Taxonomic	sample_45
S046	1.36297310728881	-1.18316918200425	Taxonomic	sample_46
S047	1.73289978343077	0.437422006701598	Taxonomic	sample_47
S048	-1.25076255109687	1.57599656704155	Taxonomic	sample_48
S049	-0.747596608765833	-0.144403921173676	Taxonomic	sample_49
S050	0.950357104351598	-0.406295430613006	Taxonomic	sample_50
S051	-1.35934134959885	-1.33615831857688	Taxonomic	sample_51
S052	0.0612840714589843	1.26853104488314	Taxonomic	sample_52
S053	0.982603029219919	1.69043689888252	Taxonomic	sample_53
S054	-0.556788124982762	-1.18039769936557	Taxonomic	sample_54
S055	1.19017159599392	0.779165616919364	Taxonomic	sample_55
S056	-0.152818654163713	0.591034438374504	Taxonomic	sample_56
S057	1.76033161789416	-1.11513434472188	Taxonomic	sample_57
S058	0.587011815336764	-1.01309446907636	Taxonomic	sample_58
S059	0.220086614287611	2.09140407219296	Taxonomic	sample_59
S060	2.00167574341993	-0.954714418734809	Taxonomic	sample_60
S061	0.494620828029229	2.0424164072936	Taxonomic	sample_61
S062	-1.90651815095029	-1.03415863841267	Taxonomic	sample_62
S063	0.466302470076842	-1.51358373397734	Taxonomic	sample_63
S064	0.566046352882668	1.59508080221138	Taxonomic	sample_64
S065	1.00104444063569	0.862135369446997	Taxonomic	sample_65
S066	-1.91185868332289	-1.56088080510103	Taxonomic	sample_66
S067	-1.85532622602244	0.0307245428629251	Taxonomic	sample_67
S068	-1.88062402855955	0.377113344466548	Taxonomic	sample_68
S069	-0.111385744870428	-1.30375259626456	Taxonomic	sample_69
S070	-1.37666600654525	0.964643572635915	Taxonomic	sample_70
S071	-1.71295164662173	-0.433422109075114	Taxonomic	sample_71
S072	-0.11924918315621	-0.113408823071029	Taxonomic	sample_72
S073	1.41141161512111	1.31455926866485	Taxonomic	sample_73
S074	0.103292575868917	0.655155549431316	Taxonomic	sample_74
S075	-0.576072321217979	-1.7619872543415	Taxonomic	sample_75
S076	2.349173285276	0.202287168888424	Taxonomic	sample_76
S077	-1.39708220284276	-0.512219261923618	Taxonomic	sample_77
S078	-0.865984690918252	-1.37736305878994	Taxonomic	sample_78
S079	-0.835660259443624	-1.4643217660729	Taxonomic	sample_79
S080	1.43160809879983	-0.590596621783917	Taxonomic	sample_80
S081	-2.10185885767277	-1.3918595770333	Taxonomic	sample_81
S082	0.0637643075496096	-0.998570229886663	Taxonomic	sample_82
S083	0.789229204332057	0.335660305623587	Taxonomic	sample_83
S084	0.105411686706107	-0.510105287354385	Taxonomic	sample_84
S085	0.387082801139055	-0.785178902983407	Taxonomic	sample_85
S086	1.23707409067994	0.0415266555260408	Taxonomic	sample_86
S087	-0.621767131790675	0.966495477900752	Taxonomic	sample_87
S088	-0.996797376564289	-0.373691321038391	Taxonomic	sample_88
S089	-1.11734365924648	0.646653499370419	Taxonomic	sample_89
S090	-1.52677032167277	-1.66435087736581	Taxonomic	sample_90
S091	2.16110008485825	0.607712187405469	Taxonomic	sample_91
S092	-0.220353316959648	1.46369770106692	Taxonomic	sample_92
S093	2.08798857864375	0.455395133594097	Taxonomic	sample_93
S094	-0.411255464617985	2.08344715219364	Taxonomic	sample_94
S095	-1.69397533224175	0.132436009764253	Taxonomic	sample_95
S096	-0.92374325360044	-1.76868216903461	Taxonomic	sample_96
S097	1.62066523277026	1.34312550127506	Taxonomic	sample_97
S098	0.339345364360445	-2.15991445457273	Taxonomic	sample_98
S099	-1.70783296146036	-1.81013300126224	Taxonomic	sample_99
S100	0.816428331790133	-0.126312622171597	Taxonomic	sample_100
S001.1	0.192413783132493	-1.79798086648613	Sequence	sample_1
S002.1	-1.47130743730078	-0.0534582649177493	Sequence	sample_2
S003.1	-0.118975593119309	-0.178597925911571	Sequence	sample_3
S004.1	0.912407921760415	0.404283592073207	Sequence	sample_4
S005.1	1.00794880860128	1.68911555957177	Sequence	sample_5
S006.1	-0.274689641944256	1.3194111133263	Sequence	sample_6
S007.1	0.0818375318996874	-0.598485801142675	Sequence	sample_7
S008.1	1.16536782026648	0.71267176128913	Sequence	sample_8
S009.1	1.87013817319229	0.337747542263261	Sequence	sample_9
S010.1	-1.2274297923368	1.56866813041133	Sequence	sample_10
S011.1	-1.21764859348098	-0.440312918915799	Sequence	sample_11
S012.1	1.19508869551887	-1.44167245956228	Sequence	sample_12
S013.1	-1.77699583005511	1.29539263741342	Sequence	sample_13
S014.1	-0.695769222629244	1.10709425155557	Sequence	sample_14
S015.1	-1.58978319108967	0.189033420628896	Sequence	sample_15
S016.1	0.277101033717326	-1.01899257891543	Sequence	sample_16
S017.1	2.37948808867049	1.31329211509574	Sequence	sample_17
