ID	UMAP1	UMAP2	Abd_type	SampleID
S001	-0.275922254086901	1.96351908492755	Taxonomic	sample_1
S002	1.69081859345978	1.98459802021231	Taxonomic	sample_2
S003	1.57730777275605	-0.804249597463702	Taxonomic	sample_3
S004	1.21248246880099	1.13752798664571	Taxonomic	sample_4
S005	-2.71916544332302	-0.2212467453668	Taxonomic	sample_5
S006	-2.52467384880749	-1.15153720240271	Taxonomic	sample_6
S007	3.08698860009036	1.36790361936664	Taxonomic	sample_7
S008	2.93914761893971	1.59447468754843	Taxonomic	sample_8
S009	-1.67102451309724	-0.823653261130088	Taxonomic	sample_9
S010	3.5151455878588	1.08710294519298	Taxonomic	sample_10
S011	2.76060604956342	1.77708754485083	Taxonomic	sample_11
S012	-2.73842002731466	-1.05659350167973	Taxonomic	sample_12
S013	-1.65261904558773	1.56151768070836	Taxonomic	sample_13
S014	1.64591958724807	2.30088750559011	Taxonomic	sample_14
S015	-1.00397418588767	-2.3964953049206	Taxonomic	sample_15
S016	-2.52866961355612	-1.41506462041456	Taxonomic	sample_16
S017	-2.81288691128512	-0.707329258747957	Taxonomic	sample_17
S018	0.452642762748557	-2.24951806495772	Taxonomic	sample_18
S019	2.58210149268982	1.40275553577063	Taxonomic	sample_19
S020	0.332169359100273	-0.125954739900078	Taxonomic	sample_20
S021	1.92306348673485	2.0640798574507	Taxonomic	sample_21
S022	0.517644833939889	-0.195651277015515	Taxonomic	sample_22
S023	-2.09453203937522	-1.67198770507433	Taxonomic	sample_23
S024	1.56226264335056	2.44622188124837	Taxonomic	sample_24
S025	3.0763713372727	1.09017611964039	Taxonomic	sample_25
S026	3.01188852983183	0.817030936970296	Taxonomic	sample_26
S027	1.22051206804815	1.81666643944143	Taxonomic	sample_27
S028	-2.60709108924887	-0.0338904995842016	Taxonomic	sample_28
S029	-1.47207034382812	-1.36082180535997	Taxonomic	sample_29
S030	-0.814681342032968	-2.38968689715983	Taxonomic	sample_30
S031	-0.417348044244918	1.20974437320153	Taxonomic	sample_31
S032	2.68952260443241	2.2583874810756	Taxonomic	sample_32
S033	-1.64484472646083	-0.0195295020568437	Taxonomic	sample_33
S034	-1.50234309317957	-2.28584396039921	Taxonomic	sample_34
S035	-1.9191690118078	-2.27572956796266	Taxonomic	sample_35
S036	-0.173950442577794	2.37008700760753	Taxonomic	sample_36
S037	-0.0737376453422647	0.474730403297135	Taxonomic	sample_37
S038	-2.34697455467854	-0.364023866131821	Taxonomic	sample_38
S039	2.72419216243252	1.03430764431354	Taxonomic	sample_39
S040	0.0232270820702356	-2.48818264886213	Taxonomic	sample_40
S041	2.53503891375713	2.05649712988968	Taxonomic	sample_41
S042	-1.75367344465395	-2.24519632859354	Taxonomic	sample_42
S043	1.49341036600368	-0.431676967915098	Taxonomic	sample_43
S044	0.672528165426554	-0.785050334492818	Taxonomic	sample_44
S045	-1.44686020767124	-1.1558543266003	Taxonomic	sample_45
