ID	t_SNE1	t_SNE2	Abd_type	SampleID
S001 	5.54425663515986	4.22661473535749	Taxonomic	sample_1
S002 	5.23008266145836	-3.10873339409045	Taxonomic	sample_2
S003 	-3.11196270205981	4.04337004356903	Taxonomic	sample_3
S004 	2.59272412786009	7.50206439456957	Taxonomic	sample_4
S005 	-0.0521144941521673	0.295765560797778	Taxonomic	sample_5
S006 	0.92137105493693	7.36409815319174	Taxonomic	sample_6
S007 	2.95988058449839	0.893811161007965	Taxonomic	sample_7
S008 	6.68525921960022	0.252430027576741	Taxonomic	sample_8
S009 	0.682211576753964	2.22420016266976	Taxonomic	sample_9
S010 	-5.0912145836409	-7.30162540253213	Taxonomic	sample_10
S011 	-2.5330485486282	-8.39422382112379	Taxonomic	sample_11
S012 	-5.55150556247033	0.0993850135045241	Taxonomic	sample_12
S013 	-0.0443444825104512	1.59107548021418	Taxonomic	sample_13
S014 	4.46835962468946	-1.33766322629149	Taxonomic	sample_14
S015 	0.199022391825283	-4.05411883242013	Taxonomic	sample_15
S016 	-4.0158450176693	-6.07361070280989	Taxonomic	sample_16
S017 	4.06452887437527	4.56640025998893	Taxonomic	sample_17
S018 	-0.357449483830936	-1.89987165882826	Taxonomic	sample_18
S019 	-2.37064052757086	0.0803080787070901	Taxonomic	sample_19
S020 	-0.625553831776589	-3.7833900774691	Taxonomic	sample_20
S021 	2.7695938941738	3.3355679676851	Taxonomic	sample_21
S022 	-3.56896594900006	-1.64156410446589	Taxonomic	sample_22
S023 	-1.67518882869655	-4.30736737565829	Taxonomic	sample_23
S024 	-4.77724740700188	-7.27438676997847	Taxonomic	sample_24
S025 	3.31776519429854	-1.0769621757083	Taxonomic	sample_25
S026 	-0.580873973512642	-2.65513463574158	Taxonomic	sample_26
S027 	1.97704122325202	-0.622104525533685	Taxonomic	sample_27
S028 	-3.38793098547411	-3.47180680540072	Taxonomic	sample_28
S029 	0.489150836428668	6.84252813169219	Taxonomic	sample_29
S030 	1.33728811893956	-2.9806004067508	Taxonomic	sample_30
S031 	-1.03186212418941	-1.70422616950621	Taxonomic	sample_31
S032 	2.99101060018412	3.64317940402237	Taxonomic	sample_32
S033 	-4.73035664937019	-3.28769605511256	Taxonomic	sample_33
S034 	0.630327306076089	0.0546948969217245	Taxonomic	sample_34
S035 	3.08430028697979	7.96839898432957	Taxonomic	sample_35
S036 	-4.08739711979863	-4.69442593900124	Taxonomic	sample_36
S037 	1.3012659960423	-0.711150740093082	Taxonomic	sample_37
S038 	1.93413435898417	8.53361999346103	Taxonomic	sample_38
S039 	1.21997075177212	-4.45444452022089	Taxonomic	sample_39
S040 	-3.22460134894206	-8.14725376572236	Taxonomic	sample_40
S041 	5.29974226254325	2.50155714906905	Taxonomic	sample_41
S042 	0.439667678387363	-4.20054606826807	Taxonomic	sample_42
S043 	1.97190563446694	8.92230387428755	Taxonomic	sample_43
S044 	-4.27062087007112	-1.49136855793736	Taxonomic	sample_44
S045 	-3.72828582659902	-5.31554350247774	Taxonomic	sample_45
S046 	5.02170942434226	-2.06045554570497	Taxonomic	sample_46
S047 	2.32617926883923	-1.42583223338213	Taxonomic	sample_47
S048 	-1.87050670095982	3.41660318455136	Taxonomic	sample_48
S049 	-1.81556704369293	-7.16454968865523	Taxonomic	sample_49
S050 	2.16025031406141	-0.0792308577422534	Taxonomic	sample_50
S051 	-1.35437723570671	5.22103857830869	Taxonomic	sample_51
S052 	0.484464179600523	1.51342776204122	Taxonomic	sample_52
S053 	-2.6483611052574	0.36469745754165	Taxonomic	sample_53
