ID	t_SNE1	t_SNE2	Abd_type	SampleID
S001 	-1.57952383277156	-0.816897526752947	Taxonomic	sample_1
S002 	-4.31588315614685	1.62983014230667	Taxonomic	sample_2
S003 	-1.31462135618343	-5.78897418979536	Taxonomic	sample_3
S004 	1.98260682007923	0.686128894472979	Taxonomic	sample_4
S005 	-2.17549875356849	-2.54528042833183	Taxonomic	sample_5
S006 	3.19348080623019	-0.392780974915489	Taxonomic	sample_6
S007 	-1.93904201178525	6.87237773733516	Taxonomic	sample_7
S008 	1.41247732642451	5.30721348007941	Taxonomic	sample_8
S009 	0.207220271868566	-3.6359180769847	Taxonomic	sample_9
S010 	-5.8965929652694	0.559218442531944	Taxonomic	sample_10
S011 	-6.18499914779611	-1.09547319990699	Taxonomic	sample_11
S012 	-1.01402051671759	2.1080021070191	Taxonomic	sample_12
S013 	-0.663333692490662	-2.09867761849539	Taxonomic	sample_13
S014 	2.25768161453048	3.80164203757164	Taxonomic	sample_14
S015 	-0.85507188677428	-0.691293674463923	Taxonomic	sample_15
S016 	2.62841536866798	-3.84911850705348	Taxonomic	sample_16
S017 	1.83585942927512	4.96900133679108	Taxonomic	sample_17
S018 	5.0848573753751	-0.683588279284263	Taxonomic	sample_18
S019 	0.905438908291519	-6.04729234166743	Taxonomic	sample_19
S020 	0.113141809142457	-0.882847247222053	Taxonomic	sample_20
S021 	-1.2409570622558	6.13695219731293	Taxonomic	sample_21
S022 	-2.89311886750644	-1.03469158127203	Taxonomic	sample_22
S023 	-4.1773599793357	0.892277004847382	Taxonomic	sample_23
S024 	-1.9173149757626	3.79326186132799	Taxonomic	sample_24
S025 	-0.404736908881721	-0.00161788522835133	Taxonomic	sample_25
S026 	-3.33504087265743	5.95201514770494	Taxonomic	sample_26
S027 	2.37422720810788	-4.80439761931652	Taxonomic	sample_27
S028 	-5.48583005083782	-1.75889789636643	Taxonomic	sample_28
S029 	2.18453192961511	-2.9373059794162	Taxonomic	sample_29
S030 	-0.889581301269403	5.81373482714493	Taxonomic	sample_30
S031 	-0.494744683913199	4.3026138723603	Taxonomic	sample_31
S032 	-3.35130153479309	-5.20687733630302	Taxonomic	sample_32
S033 	6.19205212529452	-0.670615941898687	Taxonomic	sample_33
S034 	4.91447478461596	1.28686997657873	Taxonomic	sample_34
S035 	-0.275310092140145	-2.82832855133731	Taxonomic	sample_35
S036 	-4.37260290535206	0.0177161589411051	Taxonomic	sample_36
S037 	-3.46097247236537	-0.560207011256833	Taxonomic	sample_37
S038 	-0.148831398188891	1.87796003582829	Taxonomic	sample_38
S039 	1.51715019125546	-1.75877749568941	Taxonomic	sample_39
S040 	-1.42899283357321	5.28297754321162	Taxonomic	sample_40
S041 	-5.28687224441533	0.0478697099777768	Taxonomic	sample_41
S042 	0.906220790182831	-6.25879562222421	Taxonomic	sample_42
S043 	-0.221509501440969	-6.66991234339857	Taxonomic	sample_43
S044 	1.50533673329419	6.5851540770128	Taxonomic	sample_44
S045 	-0.543440750380319	-6.02164779304559	Taxonomic	sample_45
S046 	5.71512874194288	-0.206180518545882	Taxonomic	sample_46
S047 	-2.31078197095031	-0.470897047296205	Taxonomic	sample_47
S048 	2.52600832964623	3.74447254301134	Taxonomic	sample_48
S049 	2.90237144703936	-0.978712352918107	Taxonomic	sample_49
S050 	2.7697005610505	3.11232006655776	Taxonomic	sample_50
S051 	-0.65776958924394	-3.20447369634381	Taxonomic	sample_51
S052 	6.38472616108468	-0.415940307184447	Taxonomic	sample_52
S053 	4.66757294128557	0.763098098254797	Taxonomic	sample_53
S054 	0.0580585430941285	-2.05100471928907	Taxonomic	sample_54
S055 	0.087910309440494	-1.45104231544363	Taxonomic	sample_55
S056 	1.89219517280127	-2.85391719038002	Taxonomic	sample_56
S057 	2.66806329134311	0.0457513893317821	Taxonomic	sample_57
S058 	3.97250671174756	-5.9965899267603	Taxonomic	sample_58
S059 	-6.20365472478139	-2.11609735268393	Taxonomic	sample_59
S060 	3.91789992484159	-5.37185683649054	Taxonomic	sample_60
S061 	0.874079857432811	-2.88681890220598	Taxonomic	sample_61
S062 	1.3646336418131	-1.26560239692886	Taxonomic	sample_62
S063 	-0.537418941605849	2.34481183870864	Taxonomic	sample_63
S064 	3.46952836775716	-2.91054581489404	Taxonomic	sample_64
S065 	-2.36427292386149	5.16035819050386	Taxonomic	sample_65
S066 	-4.86588307182243	2.12024085143744	Taxonomic	sample_66
S067 	0.0465910812679485	-0.110676971954124	Taxonomic	sample_67
S068 	2.75758939916781	-3.69401259270852	Taxonomic	sample_68
S069 	5.36538621022236	1.76054236090655	Taxonomic	sample_69
S070 	2.04507569657645	-3.5417227809691	Taxonomic	sample_70
S071 	-6.05456802576092	-1.47369494761341	Taxonomic	sample_71
S072 	2.17674267032018	-6.07544220355951	Taxonomic	sample_72
S073 	-5.14258950785591	-2.17878291296997	Taxonomic	sample_73
S074 	-4.80550816743759	3.03232190859553	Taxonomic	sample_74
S075 	1.46681142529475	3.61689336721275	Taxonomic	sample_75
S076 	4.14006026153001	1.31157804051762	Taxonomic	sample_76
S077 	-2.70186086999272	-0.373324037476343	Taxonomic	sample_77
S078 	0.513958488923775	1.26399332025225	Taxonomic	sample_78
S079 	-4.15561300124169	-1.06854915262347	Taxonomic	sample_79
S080 	-2.09385970638724	-1.51767703902588	Taxonomic	sample_80
S081 	-3.22278742652014	1.4904933994783	Taxonomic	sample_81
S082 	0.95466330328437	4.50013698638792	Taxonomic	sample_82
S083 	-0.921755399391735	2.66289448739779	Taxonomic	sample_83
S084 	2.29946769057658	4.87547093818528	Taxonomic	sample_84
S085 	-4.87710514641486	0.577548316542779	Taxonomic	sample_85
S086 	0.732397027077964	2.51215223747082	Taxonomic	sample_86
S087 	4.75648864464366	-3.92346020453771	Taxonomic	sample_87
S088 	-1.12981640137764	6.71473889581528	Taxonomic	sample_88
S089 	-4.36197209811935	-4.06780117906279	Taxonomic	sample_89
S090 	1.00899102510157	-5.07089010823962	Taxonomic	sample_90
S091 	0.674113663351623	-0.228236361423159	Taxonomic	sample_91
S092 	1.63221243950461	-5.11296625899623	Taxonomic	sample_92
S093 	4.01691694662309	-3.24231461527099	Taxonomic	sample_93
S094 	-0.0803403480310136	4.80027659895542	Taxonomic	sample_94
S095 	2.07629128662727	5.64645376670327	Taxonomic	sample_95
S096 	3.77787860100953	1.99970001077632	Taxonomic	sample_96
S097 	7.0393706405495	0.42757377288736	Taxonomic	sample_97
S098 	-1.12261044963208	5.06728278790835	Taxonomic	sample_98
S099 	-5.01809379310708	1.17604159720016	Taxonomic	sample_99
S100 	-1.4711966781161	4.2494835040665	Taxonomic	sample_100
S101	4.36257806362904	2.57603066248589	Sequence	sample_1
S102	4.36551836467763	3.56542878632984	Sequence	sample_2
S103	4.89796007183847	-0.606502934596952	Sequence	sample_3
S104	-1.70563699349696	0.979755847447845	Sequence	sample_4
S105	-2.77182320938381	-5.4570521088715	Sequence	sample_5
S106	-0.308018769435238	0.814799339558302	Sequence	sample_6
S107	-6.33563451483821	-0.523015196211614	Sequence	sample_7
S108	-2.14185253611978	3.53659395070746	Sequence	sample_8
S109	0.13636405004486	-3.56045338493604	Sequence	sample_9
S110	2.55725708041449	-2.11776209092319	Sequence	sample_10
