ID	t_SNE1	t_SNE2	Abd_type	SampleID
S001 	-1.443890869478	3.80894813230242	Taxonomic	sample_1
S002 	3.66318189547606	1.8337982662062	Taxonomic	sample_2
S003 	-0.514628375301314	-0.46546907149045	Taxonomic	sample_3
S004 	-2.70683161584164	4.64581006140866	Taxonomic	sample_4
S005 	-1.62573233336927	-2.29753728045913	Taxonomic	sample_5
S006 	6.87095346336454	-2.45052438308543	Taxonomic	sample_6
S007 	1.49840855656528	1.08808065668176	Taxonomic	sample_7
S008 	-3.73015696396146	-3.07817167797836	Taxonomic	sample_8
S009 	4.64903661524498	-0.609351920696726	Taxonomic	sample_9
S010 	-5.12933389649943	-6.09202270926567	Taxonomic	sample_10
S011 	-2.69952316341478	5.97064621817049	Taxonomic	sample_11
S012 	-4.12548556437407	-5.91630403320664	Taxonomic	sample_12
S013 	3.96773032529454	0.0705122788899798	Taxonomic	sample_13
S014 	4.83640946341421	-0.779367101698698	Taxonomic	sample_14
S015 	0.955321469334366	5.44888339552615	Taxonomic	sample_15
S016 	5.04792714866782	-4.19241089058653	Taxonomic	sample_16
S017 	5.02145645983474	-4.39825284055849	Taxonomic	sample_17
S018 	-4.16158775474916	-4.87027680123427	Taxonomic	sample_18
S019 	-2.36983920379363	3.36367033157262	Taxonomic	sample_19
S020 	0.101939039068247	3.30163998589168	Taxonomic	sample_20
S021 	2.10635835795837	-0.604141524301957	Taxonomic	sample_21
S022 	3.62690460442563	-1.33866232595817	Taxonomic	sample_22
S023 	1.42537204429753	-5.40987285315211	Taxonomic	sample_23
S024 	-1.61526809169939	3.0857166946401	Taxonomic	sample_24
S025 	-3.53829798880949	-3.97808475637579	Taxonomic	sample_25
S026 	-3.0377494685801	-6.93875628080963	Taxonomic	sample_26
S027 	0.13060345003932	1.95655194099147	Taxonomic	sample_27
S028 	-1.03804027709776	-7.11349436583676	Taxonomic	sample_28
S029 	4.67270721064408	2.07376160633388	Taxonomic	sample_29
S030 	-0.22828072811386	1.27772066307197	Taxonomic	sample_30
S031 	2.65603926168047	0.720517253813143	Taxonomic	sample_31
S032 	1.9507916381105	4.67408078221822	Taxonomic	sample_32
S033 	-1.35040335339238	-1.58837561104564	Taxonomic	sample_33
S034 	-3.1429912133027	-2.74176996367842	Taxonomic	sample_34
S035 	0.6424530317977	-5.32417602606116	Taxonomic	sample_35
S036 	-5.12871484644321	5.79569675486517	Taxonomic	sample_36
S037 	-0.9607521737375	-2.32026385695465	Taxonomic	sample_37
S038 	-3.88617964087649	0.727792598282946	Taxonomic	sample_38
S039 	5.97458705447144	0.449581021732986	Taxonomic	sample_39
S040 	0.861606973718919	-2.79222028822995	Taxonomic	sample_40
S041 	3.15554815536265	0.0314113535962511	Taxonomic	sample_41
S042 	2.98107012948617	1.12249807242723	Taxonomic	sample_42
S043 	3.32792824818097	-4.29823333798069	Taxonomic	sample_43
S044 	-2.2876454044072	6.00007788265766	Taxonomic	sample_44
S045 	0.76566228870025	1.81145443375923	Taxonomic	sample_45
S046 	-3.91920548846994	5.98911876176394	Taxonomic	sample_46
S047 	2.56584610124462	-4.75064138949585	Taxonomic	sample_47
S048 	0.787595326356565	-0.051084774115168	Taxonomic	sample_48
S049 	-0.655919783206817	3.2443178766057	Taxonomic	sample_49
S050 	6.80325069158928	-2.94670731967918	Taxonomic	sample_50
S051 	1.18812355912237	-0.762002815801922	Taxonomic	sample_51
S052 	-1.95990189771341	-2.11710359075172	Taxonomic	sample_52
S053 	-1.75056193759012	-0.161206539771319	Taxonomic	sample_53
S054 	2.13109940049966	5.67331093421982	Taxonomic	sample_54
S055 	-1.52266982874073	-5.09165785858636	Taxonomic	sample_55
S056 	0.557979365874224	-2.01234441193592	Taxonomic	sample_56
S057 	-2.69108433808116	-2.99083090487985	Taxonomic	sample_57
S058 	0.781945814077006	2.42826218504805	Taxonomic	sample_58
S059 	-1.43137514233164	-4.37842902887365	Taxonomic	sample_59
S060 	-4.56249234627539	5.20880182567264	Taxonomic	sample_60
S061 	-5.89637060501929	-6.10020153181804	Taxonomic	sample_61
S062 	-0.181883288732605	4.84010536970401	Taxonomic	sample_62
S063 	-4.37748504541811	4.66175476580209	Taxonomic	sample_63
S064 	-1.55218271950436	5.62737666287177	Taxonomic	sample_64
S065 	5.7031403290936	-1.15285221658559	Taxonomic	sample_65
S066 	1.66992060208343	6.48904389971809	Taxonomic	sample_66
S067 	-0.859716088337987	-3.84880142282918	Taxonomic	sample_67
S068 	-1.76378187558744	-6.83281931275521	Taxonomic	sample_68
S069 	2.29231999682616	0.0017335447819273	Taxonomic	sample_69
S070 	5.66370950393191	4.27155088388659	Taxonomic	sample_70
S071 	2.83627705846852	3.58298319263665	Taxonomic	sample_71
S072 	-5.085152743285	-5.2199017419408	Taxonomic	sample_72
S073 	1.85820893196564	-5.38434134228038	Taxonomic	sample_73
S074 	-2.73252929855971	-6.0348458254204	Taxonomic	sample_74
S075 	7.05885455601319	-2.19021102894302	Taxonomic	sample_75
S076 	-0.982609638814847	6.05482644388623	Taxonomic	sample_76
S077 	-3.51250352702959	-1.04247048122944	Taxonomic	sample_77
S078 	1.32479785006297	-5.65920778350024	Taxonomic	sample_78
S079 	-1.16486054830986	-0.072174604262748	Taxonomic	sample_79
S080 	-2.27456087434587	0.519825795605955	Taxonomic	sample_80
S081 	-5.18051960333446	3.93283299360814	Taxonomic	sample_81
S082 	-0.0218361724431722	5.64723766929542	Taxonomic	sample_82
S083 	4.33162962993151	-4.15882574594786	Taxonomic	sample_83
S084 	-1.31319068755104	-3.28997169229898	Taxonomic	sample_84
S085 	-3.44040249223231	0.0531577076443773	Taxonomic	sample_85
S086 	4.6982242834449	0.779355018379446	Taxonomic	sample_86
S087 	1.3370660275107	5.17373009826576	Taxonomic	sample_87
S088 	-3.91712565873959	4.10474774561859	Taxonomic	sample_88
S089 	2.11707942126874	2.90146113325445	Taxonomic	sample_89
S090 	6.18167770895358	0.128624113771012	Taxonomic	sample_90
S091 	-3.28033259381769	2.74330516174585	Taxonomic	sample_91
S092 	-1.1239721941614	0.756674692378774	Taxonomic	sample_92
S093 	-0.770367765689795	0.299810655134057	Taxonomic	sample_93
S094 	-3.22914731969488	5.71972757211813	Taxonomic	sample_94
S095 	5.21239990762806	3.33777298919242	Taxonomic	sample_95
S096 	-2.84731219028445	1.4242148711433	Taxonomic	sample_96
S097 	-0.92802768243135	-5.60199575392903	Taxonomic	sample_97
S098 	-2.28229885547414	1.55346541512092	Taxonomic	sample_98
S099 	-2.75940325858153	4.32973173935663	Taxonomic	sample_99
S100 	-3.29902653405286	0.710656915006225	Taxonomic	sample_100
S101	1.95749774845992	13.0103275745071	Sequence	sample_1
S102	1.31830801278523	-6.97344488772236	Sequence	sample_2
S103	8.74434213393266	-4.98593352538691	Sequence	sample_3
S104	1.54295678105307	5.3993634521094	Sequence	sample_4
S105	3.83594563707921	-8.22145742226565	Sequence	sample_5
S106	7.59665565936639	-10.7349148520105	Sequence	sample_6
S107	-4.22604905762337	-1.18339359916432	Sequence	sample_7
S108	-4.25805296346162	9.24753443391713	Sequence	sample_8
S109	1.26666660436473	-3.45308122645848	Sequence	sample_9
S110	11.1036249150514	5.91783409303827	Sequence	sample_10
S111	-8.58092447649483	-5.92585434435034	Sequence	sample_11
S112	1.11879782603522	-12.5321690473758	Sequence	sample_12
S113	7.84134440947602	-3.10889720643365	Sequence	sample_13
S114	6.34560203783569	-8.48348586187976	Sequence	sample_14
S115	5.11312343842962	6.90314738221953	Sequence	sample_15
S116	12.8081448063551	1.50524134277495	Sequence	sample_16
S117	-1.88042162057883	5.32655118861152	Sequence	sample_17
S118	-0.638384703009504	3.87673793169932	Sequence	sample_18
S119	-11.4267569063886	-2.18416297819682	Sequence	sample_19
S120	-9.45711785768058	4.69931005359987	Sequence	sample_20
S121	-5.90880141323347	-4.98508112626922	Sequence	sample_21
S122	0.431228685724529	6.8597805839774	Sequence	sample_22
S123	-1.75202027581813	-6.25916563213531	Sequence	sample_23
S124	-9.74123375798933	-3.52976980339707	Sequence	sample_24
S125	-3.35934134150943	-7.89243370726134	Sequence	sample_25
S126	16.0340121527105	6.56007896720145	Sequence	sample_26
S127	6.96478550384235	8.24958483967407	Sequence	sample_27
S128	-5.98078129330252	-14.0358806053809	Sequence	sample_28
S129	-2.77230995845719	10.8685371140537	Sequence	sample_29
S130	-2.15999427319562	-1.24515938005135	Sequence	sample_30
S131	2.72861495503747	0.238854999015096	Sequence	sample_31
S132	9.41638423056918	3.15197297041764	Sequence	sample_32
S133	-6.61300171661681	7.35965557298749	Sequence	sample_33
S134	-0.0402262911026724	-1.92579801016992	Sequence	sample_34
S135	0.73480444583837	-10.6287800189146	Sequence	sample_35
S136	13.0488915561085	8.73411886562535	Sequence	sample_36
S137	-4.36368434976878	3.11957437497614	Sequence	sample_37
S138	12.08254178614	7.11664241297301	Sequence	sample_38
S139	3.13240328034576	-10.9926275678566	Sequence	sample_39
S140	1.86855242129189	-5.16024850215431	Sequence	sample_40
S141	10.6334116462452	0.584563674888723	Sequence	sample_41
S142	4.71417763295435	-2.17339779884848	Sequence	sample_42
S143	7.29017048824324	6.41792299178536	Sequence	sample_43
S144	-6.67780321139182	-7.73898117386278	Sequence	sample_44
S145	-5.88004377494493	-2.71183604090851	Sequence	sample_45
S146	-10.7160324466667	-12.9780373337822	Sequence	sample_46
S147	-9.40210531924861	0.685237235298109	Sequence	sample_47
S148	6.54856441571552	0.613747585764813	Sequence	sample_48
S149	2.73964914009295	7.43371092081521	Sequence	sample_49
S150	13.0285007699154	-1.55687025369165	Sequence	sample_50
S151	-6.72802567869897	0.744485644597221	Sequence	sample_51
S152	-2.29485056688805	12.6081169946486	Sequence	sample_52
S153	6.08884755293829	12.0975597255176	Sequence	sample_53
S154	6.95397796830613	10.4281412052082	Sequence	sample_54
S155	-9.4874000934642	-15.1948489111166	Sequence	sample_55
S156	-1.81179511079564	-8.60239430925038	Sequence	sample_56
S157	-9.55271213634543	-1.64587154892024	Sequence	sample_57
S158	-9.39465682302608	-10.024151176997	Sequence	sample_58
S159	-5.75935060020491	10.2008157327721	Sequence	sample_59
S160	-11.7728823213223	-10.621583954599	Sequence	sample_60
S161	2.56565886002202	11.4801223421424	Sequence	sample_61
S162	-4.07566598975463	6.87041584361022	Sequence	sample_62
S163	-12.4617725538904	-11.9781699663311	Sequence	sample_63
S164	-7.63181826065458	4.03135117270418	Sequence	sample_64
S165	-2.16811702505265	-3.45064657250795	Sequence	sample_65
S166	-2.38273898710528	3.52503258310873	Sequence	sample_66
S167	-8.2055394819853	-14.1343886093413	Sequence	sample_67
S168	6.97193467505138	-5.19954740651155	Sequence	sample_68
S169	-3.7826037679036	-14.1020336173232	Sequence	sample_69
S170	15.1468697715654	7.87115364390826	Sequence	sample_70
S171	8.31296065816852	4.37757268678203	Sequence	sample_71
S172	10.0315921734357	7.93598262084299	Sequence	sample_72
S173	-4.04843108517011	-3.21339107078495	Sequence	sample_73
S174	-4.3581682962455	11.6865158982122	Sequence	sample_74
S175	8.58235395586479	-9.30727178679209	Sequence	sample_75
S176	-8.91261687753611	7.32814199870764	Sequence	sample_76
S177	-0.624941901114317	-4.77447796035712	Sequence	sample_77
S178	-3.74592980448829	-10.1493261025243	Sequence	sample_78
S179	-0.88065596048453	11.0953478530213	Sequence	sample_79
S180	3.51242485712237	5.95177389665648	Sequence	sample_80
S181	-5.38702231516346	-9.34556912467129	Sequence	sample_81
S182	4.96467380049147	8.61515635405465	Sequence	sample_82
S183	5.64798675776183	-10.1034556234165	Sequence	sample_83
S184	-4.07945289814552	-5.58329120283671	Sequence	sample_84
S185	-7.26236314509039	-10.6316427419014	Sequence	sample_85
S186	5.18669783782317	-6.37960306626779	Sequence	sample_86
S187	-6.08184933464714	5.43272574449149	Sequence	sample_87
S188	-8.80841881344139	2.72956563628344	Sequence	sample_88
S189	-7.90218668430564	5.99942316138606	Sequence	sample_89
S190	8.01525443204765	-6.96911996405503	Sequence	sample_90
S191	10.7822677573952	10.3509427265505	Sequence	sample_91
S192	4.15023262858124	12.7929880830774	Sequence	sample_92
S193	-4.1654796844847	4.89532447569084	Sequence	sample_93
S194	13.1507936351764	3.94196226858343	Sequence	sample_94
S195	-11.3591857872689	-4.35395265336184	Sequence	sample_95
S196	-6.55164945595923	2.8323231454849	Sequence	sample_96
S197	-8.88219872877389	-11.8524754152641	Sequence	sample_97
S198	4.0893408703654	10.623487352418	Sequence	sample_98
S199	-1.91046824622895	9.33281062800006	Sequence	sample_99
S200	2.16246411100707	9.55880471066865	Sequence	sample_100
