taxID	abd_species	abd_all
158	0.093628396	0.025359645
160	0.005545341	0.001501979
162	3.69197E-05	9.99986E-06
197	7.38394E-06	1.99997E-06
206	2.21518E-05	5.99992E-06
213	7.38394E-06	1.99997E-06
285	7.38394E-06	1.99997E-06
287	1.47679E-05	3.99994E-06
294	5.90715E-05	1.59998E-05
301	1.47679E-05	3.99994E-06
303	1.47679E-05	3.99994E-06
305	7.38394E-06	1.99997E-06
317	0.002015816	0.000545992
346	2.21518E-05	5.99992E-06
350	7.38394E-06	1.99997E-06
414	0.204129101	0.055289226
421	1.47679E-05	3.99994E-06
470	2.95358E-05	7.99989E-06
485	7.38394E-06	1.99997E-06
487	1.47679E-05	3.99994E-06
492	7.38394E-06	1.99997E-06
494	7.38394E-06	1.99997E-06
536	0.057675978	0.015621781
545	7.38394E-06	1.99997E-06
553	2.95358E-05	7.99989E-06
562	7.38394E-05	1.99997E-05
573	4.43037E-05	1.19998E-05
666	5.16876E-05	1.39998E-05
670	0.000125527	3.39995E-05
714	4.43037E-05	1.19998E-05
715	2.95358E-05	7.99989E-06
718	5.16876E-05	1.39998E-05
720	2.95358E-05	7.99989E-06
727	0.000184599	4.99993E-05
730	0.0708637	0.019193731
733	7.38394E-06	1.99997E-06
747	7.38394E-05	1.99997E-05
752	2.95358E-05	7.99989E-06
821	7.38394E-06	1.99997E-06
844	7.38394E-06	1.99997E-06
916	7.38394E-06	1.99997E-06
940	7.38394E-06	1.99997E-06
955	2.21518E-05	5.99992E-06
1097	0.019493609	0.005279926
1098	7.38394E-06	1.99997E-06
1100	7.38394E-06	1.99997E-06
1280	2.21518E-05	5.99992E-06
1299	0.174888687	0.047369337
1311	2.21518E-05	5.99992E-06
1313	5.16876E-05	1.39998E-05
1318	2.95358E-05	7.99989E-06
1328	7.38394E-06	1.99997E-06
1336	5.16876E-05	1.39998E-05
1348	2.21518E-05	5.99992E-06
1351	7.38394E-06	1.99997E-06
1358	0.027025231	0.007319898
1364	7.38394E-06	1.99997E-06
1392	1.47679E-05	3.99994E-06
1396	2.21518E-05	5.99992E-06
1399	2.95358E-05	7.99989E-06
1408	7.38394E-06	1.99997E-06
1478	7.38394E-06	1.99997E-06
1491	0.000118143	3.19996E-05
1494	0.00028059	7.59989E-05
1496	2.21518E-05	5.99992E-06
1498	1.47679E-05	3.99994E-06
1502	1.47679E-05	3.99994E-06
1509	1.47679E-05	3.99994E-06
1513	0.067969194	0.018409742
1553	2.21518E-05	5.99992E-06
1680	7.38394E-06	1.99997E-06
1681	1.47679E-05	3.99994E-06
1685	0.000228902	6.19991E-05
1693	7.38394E-06	1.99997E-06
1741	7.38394E-06	1.99997E-06
1744	7.38394E-06	1.99997E-06
2057	7.38394E-06	1.99997E-06
2180	7.38394E-06	1.99997E-06
2186	7.38394E-06	1.99997E-06
2188	0.038433423	0.010409854
2285	7.38394E-06	1.99997E-06
2702	2.21518E-05	5.99992E-06
2756	2.21518E-05	5.99992E-06
28026	3.69197E-05	9.99986E-06
28112	2.21518E-05	5.99992E-06
28131	7.38394E-06	1.99997E-06
28161	1.47679E-05	3.99994E-06
28232	8.12234E-05	2.19997E-05
28450	1.47679E-05	3.99994E-06
28901	2.21518E-05	5.99992E-06
29438	0.000413501	0.000111998
32025	0.004039017	0.001093985
32062	2.21518E-05	5.99992E-06
33039	7.38394E-06	1.99997E-06
33059	7.38394E-06	1.99997E-06
33069	0.000199366	5.39992E-05
34090	7.38394E-06	1.99997E-06
35554	0.074444912	0.020163718
36746	0.000118143	3.19996E-05
40324	7.38394E-06	1.99997E-06
43995	7.38394E-06	1.99997E-06
45067	1.47679E-05	3.99994E-06
46224	1.47679E-05	3.99994E-06
46257	0.000236286	6.39991E-05
46632	0.000450421	0.000121998
46678	7.38394E-05	1.99997E-05
47735	7.38394E-06	1.99997E-06
47877	0.00020675	5.59992E-05
49339	0.000214134	5.79992E-05
50339	7.38394E-06	1.99997E-06
51201	5.16876E-05	1.39998E-05
53409	0.000347045	9.39987E-05
53410	4.43037E-05	1.19998E-05
53435	0.000191983	5.19993E-05
55148	7.38394E-06	1.99997E-06
55779	7.38394E-06	1.99997E-06
57498	6.64555E-05	1.79997E-05
58231	7.38394E-06	1.99997E-06
60036	4.43037E-05	1.19998E-05
60893	7.38394E-06	1.99997E-06
63363	0.08992904	0.024357659
66851	7.38394E-06	1.99997E-06
67854	3.69197E-05	9.99986E-06
69328	7.38394E-06	1.99997E-06
69710	1.47679E-05	3.99994E-06
71451	7.38394E-06	1.99997E-06
73780	1.47679E-05	3.99994E-06
74426	7.38394E-06	1.99997E-06
74969	7.38394E-06	1.99997E-06
75906	7.38394E-06	1.99997E-06
75985	2.21518E-05	5.99992E-06
76761	7.38394E-06	1.99997E-06
76936	8.86073E-05	2.39997E-05
77038	7.38394E-06	1.99997E-06
77551	7.38394E-06	1.99997E-06
78345	7.38394E-06	1.99997E-06
79883	7.38394E-06	1.99997E-06
79885	0.017219355	0.004663935
80849	0.0066677	0.001805975
82076	0.007834363	0.00212197
86176	7.38394E-06	1.99997E-06
86185	4.43037E-05	1.19998E-05
86665	2.95358E-05	7.99989E-06
86840	0.000147679	3.99994E-05
95486	2.95358E-05	7.99989E-06
96496	0.002887122	0.000781989
100901	1.47679E-05	3.99994E-06
115547	1.47679E-05	3.99994E-06
115852	2.95358E-05	7.99989E-06
118728	2.95358E-05	7.99989E-06
125593	4.43037E-05	1.19998E-05
127886	1.47679E-05	3.99994E-06
127891	7.38394E-06	1.99997E-06
136094	7.38394E-06	1.99997E-06
143813	7.38394E-06	1.99997E-06
145261	5.16876E-05	1.39998E-05
145262	0.007280568	0.001971972
145263	4.43037E-05	1.19998E-05
146939	2.21518E-05	5.99992E-06
147802	7.38394E-06	1.99997E-06
152490	7.38394E-06	1.99997E-06
153493	7.38394E-06	1.99997E-06
157673	0.003714123	0.001005986
157687	7.38394E-06	1.99997E-06
164546	3.69197E-05	9.99986E-06
169402	0.000118143	3.19996E-05
171121	3.69197E-05	9.99986E-06
171693	7.38394E-06	1.99997E-06
171865	7.38394E-06	1.99997E-06
183795	7.38394E-06	1.99997E-06
191391	1.47679E-05	3.99994E-06
196015	7.38394E-06	1.99997E-06
198618	7.38394E-06	1.99997E-06
198703	7.38394E-06	1.99997E-06
200253	1.47679E-05	3.99994E-06
200452	2.95358E-05	7.99989E-06
216816	0.004858634	0.001315982
221027	0.00031751	8.59988E-05
223788	2.21518E-05	5.99992E-06
230361	7.38394E-06	1.99997E-06
238013	7.38394E-06	1.99997E-06
246264	5.90715E-05	1.59998E-05
246273	0.000391349	0.000105999
247633	7.38394E-06	1.99997E-06
249403	7.38394E-06	1.99997E-06
249408	1.47679E-05	3.99994E-06
251699	2.21518E-05	5.99992E-06
251701	0.005877619	0.001591978
251747	2.21518E-05	5.99992E-06
271160	7.38394E-06	1.99997E-06
