taxID	abd_species	abd_all
9	1.82092E-05	9.99986E-06
21	3.64183E-06	1.99997E-06
24	3.64183E-06	1.99997E-06
43	3.64183E-06	1.99997E-06
51	3.64183E-06	1.99997E-06
54	3.64183E-06	1.99997E-06
61	3.64183E-06	1.99997E-06
63	1.45673E-05	7.99989E-06
94	3.64183E-06	1.99997E-06
114	3.64183E-06	1.99997E-06
134	3.64183E-06	1.99997E-06
154	3.64183E-06	1.99997E-06
158	0.09574379	0.052579264
160	0.017043778	0.009359869
162	6.19112E-05	3.39995E-05
163	1.82092E-05	9.99986E-06
164	7.28367E-06	3.99994E-06
165	3.64183E-06	1.99997E-06
167	3.64183E-06	1.99997E-06
183	7.28367E-06	3.99994E-06
189	3.64183E-06	1.99997E-06
190	1.45673E-05	7.99989E-06
192	1.09255E-05	5.99992E-06
193	3.64183E-06	1.99997E-06
195	3.64183E-06	1.99997E-06
197	3.64183E-06	1.99997E-06
199	3.64183E-06	1.99997E-06
206	7.28367E-06	3.99994E-06
210	2.91347E-05	1.59998E-05
213	4.00602E-05	2.19997E-05
215	1.09255E-05	5.99992E-06
216	3.64183E-06	1.99997E-06
217	3.64183E-06	1.99997E-06
247	3.64183E-06	1.99997E-06
252	3.64183E-06	1.99997E-06
263	3.64183E-06	1.99997E-06
271	3.64183E-06	1.99997E-06
276	7.28367E-06	3.99994E-06
277	7.28367E-06	3.99994E-06
280	3.64183E-06	1.99997E-06
285	1.09255E-05	5.99992E-06
287	0.000233077	0.000127998
288	3.64183E-06	1.99997E-06
292	3.64183E-06	1.99997E-06
294	0.000335049	0.000183997
296	3.64183E-06	1.99997E-06
298	1.82092E-05	9.99986E-06
300	3.64183E-06	1.99997E-06
301	1.45673E-05	7.99989E-06
303	6.91948E-05	3.79995E-05
305	2.1851E-05	1.19998E-05
316	6.91948E-05	3.79995E-05
317	0.002898899	0.001591978
329	3.64183E-06	1.99997E-06
337	3.64183E-06	1.99997E-06
343	3.64183E-06	1.99997E-06
346	6.91948E-05	3.79995E-05
353	7.28367E-06	3.99994E-06
354	1.45673E-05	7.99989E-06
380	3.64183E-06	1.99997E-06
381	7.28367E-06	3.99994E-06
382	3.64183E-06	1.99997E-06
384	7.28367E-06	3.99994E-06
