taxID	abd_species	abd_all
7	1.8576E-07	1.00024E-07
9	7.33753E-06	3.95094E-06
11	0.002327854	0.001253449
14	1.02168E-06	5.50131E-07
19	1.02168E-06	5.50131E-07
21	1.20744E-06	6.50155E-07
23	7.24465E-06	3.90093E-06
24	2.53563E-05	1.36533E-05
25	5.20129E-06	2.80067E-06
33	1.96906E-05	1.06025E-05
34	9.10225E-06	4.90117E-06
35	8.08057E-06	4.35104E-06
41	0.007159105	0.003854868
43	8.26633E-06	4.45106E-06
48	1.03097E-05	5.55132E-06
51	4.27248E-06	2.30055E-06
52	2.60064E-06	1.40033E-06
54	2.97216E-06	1.60038E-06
56	2.2477E-05	1.21029E-05
61	5.57281E-07	3.00071E-07
63	4.55112E-06	2.45058E-06
69	3.99384E-06	2.15051E-06
72	0.001679365	0.000904265
86	3.7152E-07	2.00048E-07
94	1.57896E-06	8.50202E-07
100	6.13009E-06	3.30079E-06
102	1.30032E-06	7.00167E-07
103	1.20744E-06	6.50155E-07
104	0.004271184	0.002299848
106	4.644E-07	2.5006E-07
114	0.00694548	0.003739841
119	1.30032E-06	7.00167E-07
120	9.28801E-08	5.00119E-08
124	1.95048E-06	1.05025E-06
125	0.004654686	0.002506347
128	0.004075207	0.002194323
134	3.99384E-06	2.15051E-06
139	4.55112E-06	2.45058E-06
140	0.000954807	0.000514122
141	1.11456E-06	6.00143E-07
142	2.322E-06	1.2503E-06
143	2.87928E-06	1.55037E-06
144	3.43656E-06	1.85044E-06
148	2.83284E-05	1.52536E-05
154	0.002035467	0.001096011
158	7.89481E-06	4.25101E-06
159	0.001319547	0.000710519
160	3.7152E-07	2.00048E-07
162	3.62232E-06	1.95046E-06
163	2.322E-06	1.2503E-06
164	1.76472E-06	9.50226E-07
165	2.04336E-06	1.10026E-06
167	0.00223711	0.001204587
172	4.644E-07	2.5006E-07
173	0.002119988	0.001141522
174	6.22297E-06	3.3508E-06
180	0.001998222	0.001075956
183	4.644E-07	2.5006E-07
188	7.43041E-07	4.00095E-07
189	1.8576E-06	1.00024E-06
190	1.11456E-06	6.00143E-07
192	2.28485E-05	1.23029E-05
193	0.002517329	0.001355473
195	2.87928E-06	1.55037E-06
196	8.35921E-07	4.50107E-07
197	7.70905E-06	4.15099E-06
198	9.28801E-07	5.00119E-07
199	0.000837314	0.000450857
200	4.644E-07	2.5006E-07
201	4.644E-07	2.5006E-07
202	1.11456E-06	6.00143E-07
203	6.50161E-07	3.50083E-07
204	1.20744E-06	6.50155E-07
206	9.56665E-06	5.15123E-06
210	1.64398E-05	8.85211E-06
213	0.001012765	0.00054533
214	0.001056047	0.000568635
215	5.66569E-06	3.05073E-06
216	2.7864E-07	1.50036E-07
217	0.001251002	0.00067361
227	9.28801E-08	5.00119E-08
228	2.7864E-07	1.50036E-07
235	2.322E-06	1.2503E-06
236	2.7864E-07	1.50036E-07
238	9.28801E-07	5.00119E-07
245	1.30032E-06	7.00167E-07
247	0.002392591	0.001288307
249	2.7864E-07	1.50036E-07
250	7.43041E-07	4.00095E-07
251	3.58517E-05	1.93046E-05
252	2.04336E-06	1.10026E-06
253	8.35921E-07	4.50107E-07
254	4.644E-07	2.5006E-07
256	1.57896E-06	8.50202E-07
258	1.48608E-06	8.00191E-07
259	6.50161E-07	3.50083E-07
263	1.48608E-06	8.00191E-07
266	0.002530332	0.001362474
271	5.1084E-06	2.75066E-06
274	0.000823846	0.000443606
276	4.92264E-06	2.65063E-06
277	0.001587878	0.000855004
280	1.76472E-06	9.50226E-07
285	0.000829976	0.000446906
287	0.000170435	9.17719E-05
288	9.28801E-07	5.00119E-07
292	8.45209E-06	4.55108E-06
293	1.76472E-06	9.50226E-07
294	4.30035E-05	2.31555E-05
296	2.13624E-06	1.15027E-06
297	1.20744E-06	6.50155E-07
298	9.28801E-07	5.00119E-07
300	5.57281E-06	3.00071E-06
301	1.0867E-05	5.85139E-06
303	6.26941E-05	3.3758E-05
304	1.30032E-06	7.00167E-07
305	1.43964E-05	7.75185E-06
316	2.37773E-05	1.2803E-05
317	4.031E-05	2.17052E-05
329	3.52944E-06	1.90045E-06
337	1.11456E-06	6.00143E-07
339	2.37773E-05	1.2803E-05
343	6.68737E-06	3.60086E-06
346	0.000658706	0.000354684
347	3.45514E-05	1.86044E-05
350	7.43041E-07	4.00095E-07
353	1.48608E-06	8.00191E-07
354	2.7864E-06	1.50036E-06
358	0.000314306	0.00016924
359	4.2632E-05	2.29555E-05
373	8.26633E-06	4.45106E-06
375	8.63785E-06	4.65111E-06
376	8.63785E-06	4.65111E-06
380	4.82976E-06	2.60062E-06
381	2.80498E-05	1.51036E-05
382	1.19815E-05	6.45154E-06
384	3.54802E-05	1.91045E-05
396	6.50161E-06	3.50083E-06
398	1.91333E-05	1.03025E-05
399	3.7152E-06	2.00048E-06
405	8.35921E-07	4.50107E-07
406	2.7864E-07	1.50036E-07
408	3.15792E-06	1.7004E-06
410	5.57281E-07	3.00071E-07
414	2.22912E-06	1.20029E-06
415	2.69352E-06	1.45035E-06
421	0.003642757	0.001961467
426	0.000215482	0.000116028
428	9.00937E-06	4.85116E-06
435	5.66569E-06	3.05073E-06
436	2.22912E-06	1.20029E-06
437	1.20744E-06	6.50155E-07
438	4.08672E-06	2.20052E-06
442	1.8576E-06	1.00024E-06
446	1.97835E-05	1.06525E-05
447	1.48608E-06	8.00191E-07
448	1.67184E-06	9.00214E-07
449	1.57896E-06	8.50202E-07
450	0.000165419	8.90712E-05
451	1.76472E-06	9.50226E-07
452	1.76472E-06	9.50226E-07
453	7.43041E-07	4.00095E-07
454	1.02168E-06	5.50131E-07
455	8.35921E-07	4.50107E-07
