taxID	consensus_taxonomy	unnamed sample
14	Dictyoglomus thermophilum [ref_mOTU_v25_10869]	0.0037033
174	Leptospira borgpetersenii [ref_mOTU_v25_01378]	0.007422147
200	Campylobacter curvus [ref_mOTU_v25_02172]	0.007018781
201	Campylobacter lari [ref_mOTU_v25_00988]	0.003541698
280	Xanthobacter autotrophicus [ref_mOTU_v25_11935]	0.005682074
373	Agrobacterium vitis [ref_mOTU_v25_06183]	0.005328695
405	Methylobacillus flagellatus [ref_mOTU_v25_10777]	0.006023154
500	Thermomicrobium roseum [ref_mOTU_v25_10870]	0.003780936
533	Beijerinckia indica [ref_mOTU_v25_11098]	0.00319803
554	Pectobacterium carotovorum [ref_mOTU_v25_01625]	0.003879064
731	Histophilus somni [ref_mOTU_v25_06058]	0.003412872
770	Anaplasma marginale [ref_mOTU_v25_00573]	0.003050406
786	Rickettsia akari [ref_mOTU_v25_01009]	0.007818007
826	Sebaldella termitidis [ref_mOTU_v25_11411]	0.003006645
870	Dichelobacter nodosus [ref_mOTU_v25_06100]	0.007017742
880	Desulfovibrio salexigens [ref_mOTU_v25_11412]	0.002599337
899	Desulfomicrobium baculatum [ref_mOTU_v25_06353]	0.004191414
912	Nitrobacter hamburgensis [ref_mOTU_v25_10927]	0.006871327
916	Nitrosomonas eutropha [ref_mOTU_v25_06213]	0.006720266
945	Ehrlichia chaffeensis [ref_mOTU_v25_03552]	0.006854868
950	Neorickettsia risticii [ref_mOTU_v25_06078]	0.00350305
951	Neorickettsia sennetsu [ref_mOTU_v25_06077]	0.005257197
985	Cytophaga hutchinsonii [ref_mOTU_v25_06124]	0.006606531
986	Flavobacterium johnsoniae [ref_mOTU_v25_01978]	0.008834507
1053	Halorhodospira halophila [ref_mOTU_v25_10985]	0.008154703
1085	Rhodospirillum rubrum [ref_mOTU_v25_01107]	0.006319346
1092	Chlorobium limicola [ref_mOTU_v25_01798]	0.003794869
1094	Chlorobium phaeovibrioides [ref_mOTU_v25_10831]	0.007696791
1096	Chlorobium phaeobacteroides [ref_mOTU_v25_10946]	0.003732571
1102	Prosthecochloris aestuarii [ref_mOTU_v25_10833]	0.003566297
1108	Chloroflexus aurantiacus [ref_mOTU_v25_06203]	0.006861392
1206	Trichodesmium erythraeum [ref_mOTU_v25_10675]	0.007254261
1255	Pediococcus pentosaceus [ref_mOTU_v25_02489]	0.005318169
1276	Kytococcus sedentarius [ref_mOTU_v25_11305]	0.003289118
1502	Clostridium perfringens [ref_mOTU_v25_01606]	0.006441926
1515	Hungateiclostridium thermocellum [ref_mOTU_v25_01806]	0.00688419
1525	Moorella thermoacetica [ref_mOTU_v25_04058]	0.007455852
1646	Renibacterium salmoninarum [ref_mOTU_v25_10826]	0.007246065
1852	Saccharomonospora viridis [ref_mOTU_v25_05919]	0.002481704
2020	Thermomonospora curvata [ref_mOTU_v25_11284]	0.002765619
2148	Acholeplasma laidlawii [ref_mOTU_v25_06063]	0.005501124
2187	Methanococcus vannielii [ref_mOTU_v25_11139]	0.006854419
2198	Methanoculleus marisnigri [ref_mOTU_v25_02919]	0.006895466
2203	Methanospirillum hungatei [ref_mOTU_v25_10929]	0.006444302
2247	Halorubrum lacusprofundi [ref_mOTU_v25_03385]	0.003064652
2269	Thermofilum pendens [ref_mOTU_v25_11022]	0.006406926
2277	Pyrobaculum islandicum [ref_mOTU_v25_11062]	0.006619905
2280	Staphylothermus marinus [ref_mOTU_v25_11118]	0.00725613
2296	Desulfobacterium autotrophicum [ref_mOTU_v25_09366]	0.003771634
2337	Thermotoga neapolitana [ref_mOTU_v25_03752]	0.003850189
2421	Thermosipho africanus [ref_mOTU_v25_02798]	0.00353011
2424	Fervidobacterium nodosum [ref_mOTU_v25_11057]	0.006126396
2434	Roseobacter denitrificans [ref_mOTU_v25_06249]	0.005813811
2724	Hirschia baltica [ref_mOTU_v25_11566]	0.003737391
28025	Bifidobacterium animalis [ref_mOTU_v25_01303]	0.001907565
28049	Acidothermus cellulolyticus [ref_mOTU_v25_10993]	0.008721107
28110	Francisella philomiragia [ref_mOTU_v25_02802]	0.004062494
29291	Methanococcoides burtonii [ref_mOTU_v25_10765]	0.006129303
29543	Pelobacter propionicus [ref_mOTU_v25_10961]	0.006338798
31909	Halothermothrix orenii [ref_mOTU_v25_11036]	0.003333254
33045	Bartonella grahamii [ref_mOTU_v25_04355]	0.003647324
33075	Acidobacterium capsulatum [ref_mOTU_v25_10735]	0.003420839
