Assembly_accession	Superkingdom	Species_taxid	Genome_size	Genome_sizeM
GCF_000839085.1	Viral	195056	289	0.000275612
GCF_000843865.1	Viral	196094	299	0.000285149
GCF_000852905.1	Viral	192025	306	0.000291824
GCF_000853625.1	Viral	12896	307	0.000292778
GCF_000856285.1	Viral	12907	309	0.000294685
GCF_000848145.1	Viral	36453	310	0.000295639
GCF_000848305.1	Viral	12889	314	0.000299454
GCF_000883615.1	Viral	598747	332	0.00031662
GCF_000852785.1	Viral	12898	342	0.000326157
GCF_000878955.1	Viral	459949	345	0.000329018
GCF_000856305.1	Viral	551523	350	0.000333786
GCF_000850865.1	Viral	12899	351	0.00033474
GCF_000847785.1	Viral	12893	355	0.000338554
GCF_000851325.1	Viral	192026	360	0.000343323
GCF_000854605.1	Viral	73494	368	0.000350952
GCF_000855385.1	Viral	12906	375	0.000357628
GCF_000836845.1	Viral	196399	375	0.000357628
GCF_000855365.1	Viral	12783	378	0.000360489
GCF_002354945.1	Viral	2022430	382	0.000364304
GCF_000884515.1	Viral	697192	383	0.000365257
GCF_000854585.1	Viral	12895	388	0.000370026
GCF_001430395.1	Viral	1737345	388	0.000370026
GCF_000850605.1	Viral	12894	400	0.00038147
GCF_000883995.1	Viral	651134	401	0.000382423
GCF_000899115.1	Viral	857288	401	0.000382423
GCF_000906555.1	Viral	1278205	401	0.000382423
GCF_000840025.1	Viral	191032	402	0.000383377
GCF_003047555.1	Viral	219174	402	0.000383377
GCF_000844205.1	Viral	193118	405	0.000386238
GCF_000847065.1	Viral	12436	408	0.000389099
GCF_000881835.1	Viral	574040	409	0.000390053
GCF_000852865.1	Viral	79450	418	0.000398636
GCF_000853905.1	Viral	12897	419	0.00039959
GCF_000848345.1	Viral	12885	423	0.000403404
GCF_000856425.1	Viral	12888	423	0.000403404
GCF_000856265.1	Viral	12892	423	0.000403404
GCF_000889915.1	Viral	758918	423	0.000403404
GCF_000852825.1	Viral	53193	424	0.000404358
GCF_000852105.1	Viral	192027	424	0.000404358
GCF_001045345.1	Viral	1667384	424	0.000404358
GCF_000909495.1	Viral	1319979	425	0.000405312
GCF_000855405.1	Viral	100785	426	0.000406265
GCF_000850525.1	Viral	12901	430	0.00041008
GCF_000849865.1	Viral	12890	432	0.000411987
GCF_000840125.1	Viral	31504	432	0.000411987
GCF_000850565.1	Viral	46342	434	0.000413895
GCF_000854625.1	Viral	190810	434	0.000413895
GCF_000881635.1	Viral	529840	434	0.000413895
GCF_000853885.1	Viral	190808	435	0.000414848
GCF_000854565.1	Viral	12904	437	0.000416756
GCF_000839285.1	Viral	196095	445	0.000424385
GCF_000872525.1	Viral	481311	450	0.000429153
GCF_000837585.1	Viral	195061	460	0.00043869
GCF_000845885.1	Viral	193122	463	0.000441551
GCF_000846765.1	Viral	195063	472	0.000450134
GCF_000839165.1	Viral	68402	474	0.000452042
GCF_001441155.1	Viral	64021	511	0.000487328
GCF_001429975.1	Viral	1737346	514	0.000490189
GCF_000914955.1	Viral	1423421	517	0.00049305
GCF_000854685.1	Viral	192022	537	0.000512123
GCF_000841025.1	Viral	198608	581	0.000554085
GCF_004133865.1	Viral	2340909	619	0.000590324
GCF_001271055.1	Viral	1646351	621	0.000592232
GCF_000924235.1	Viral	1538550	623	0.000594139
GCF_000849805.1	Viral	298965	694	0.00066185
GCF_000854005.1	Viral	192023	698	0.000665665
GCF_000846085.1	Viral	284503	726	0.000692368
GCF_002890155.1	Viral	1506546	736	0.000701904
GCF_000846845.1	Viral	220814	757	0.000721931
GCF_000843845.1	Viral	1993650	758	0.000722885
GCF_000894135.1	Viral	1993647	760	0.000724792
GCF_000910735.1	Viral	1993643	765	0.000729561
GCF_001271215.1	Viral	1646350	774	0.000738144
GCF_002830505.1	Viral	1993652	775	0.000739098
GCF_002830425.1	Viral	1993645	780	0.000743866
GCF_000899295.1	Viral	1234171	781	0.00074482
GCF_000922435.1	Viral	1538101	786	0.000749588
GCF_002830405.1	Viral	1993644	787	0.000750542
GCF_002830485.1	Viral	1993651	788	0.000751495
GCF_002830445.1	Viral	1993646	789	0.000752449
GCF_000895995.1	Viral	1149866	792	0.00075531
GCF_000844685.1	Viral	193119	798	0.000761032
GCF_002830465.1	Viral	1993649	821	0.000782967
GCF_001689875.1	Viral	570950	824	0.000785828
GCF_000840265.1	Viral	169696	827	0.000788689
GCF_001689795.1	Viral	570949	833	0.000794411
GCF_000925215.2	Viral	1993648	834	0.000795364
GCF_000844225.1	Viral	298974	868	0.000827789
GCF_000851485.1	Viral	1921432	901	0.000859261
GCF_000846405.1	Viral	373058	908	0.000865936
GCF_000850485.1	Viral	190811	914	0.000871658
GCF_000926895.1	Viral	1548712	924	0.000881195
GCF_001589715.1	Viral	1685729	952	0.000907898
GCF_000845525.1	Viral	127441	976	0.000930786
GCF_003972145.1	Viral	1922242	1005	0.000958443
GCF_002149465.1	Viral	1592211	1081	0.001030922
GCF_000922135.1	Viral	1453081	1091	0.001040459
GCF_000926155.1	Viral	1453080	1096	0.001045227
GCF_000919695.1	Viral	1441800	1109	0.001057625
GCF_000858105.1	Viral	302069	1110	0.001058578
GCF_003029465.1	Viral	1980161	1110	0.001058578
GCF_002149265.1	Viral	2169838	1110	0.001058578
GCF_000846505.1	Viral	478812	1112	0.001060486
GCF_000919055.1	Viral	1441799	1115	0.001063347
GCF_002149165.1	Viral	1458458	1116	0.001064301
GCF_003029505.1	Viral	2169836	1116	0.001064301
GCF_000923815.1	Viral	2169893	1118	0.001066208
GCF_003029005.1	Viral	1441798	1119	0.001067162
GCF_003029485.1	Viral	1980165	1122	0.001070023
GCF_003029455.1	Viral	2169837	1123	0.001070976
GCF_000914415.1	Viral	2169834	1125	0.001072884
GCF_000921295.1	Viral	1453082	1126	0.001073837
GCF_001684945.1	Viral	1788437	1129	0.001076698
GCF_000915455.1	Viral	2170028	1132	0.001079559
GCF_000916115.1	Viral	1455653	1134	0.001081467
GCF_003029475.1	Viral	1980168	1137	0.001084328
GCF_000929695.1	Viral	1379723	1138	0.001085281
GCF_003028995.1	Viral	1441797	1141	0.001088142
GCF_000920555.1	Viral	1441796	1142	0.001089096
GCF_000916635.1	Viral	2170027	1143	0.00109005
