superkingdom	assembly_level	genome_size
viral	Complete Genome	0.000238419
viral	Complete Genome	0.000275612
viral	Complete Genome	0.000285149
viral	Complete Genome	0.000291824
viral	Complete Genome	0.000292778
viral	Complete Genome	0.000294685
viral	Complete Genome	0.000295639
viral	Complete Genome	0.000299454
viral	Complete Genome	0.00031662
viral	Complete Genome	0.000318527
viral	Complete Genome	0.000326157
viral	Complete Genome	0.000329018
viral	Complete Genome	0.000333786
viral	Complete Genome	0.00033474
viral	Complete Genome	0.00033474
viral	Complete Genome	0.000338554
viral	Complete Genome	0.000342369
viral	Complete Genome	0.000343323
viral	Complete Genome	0.000350952
viral	Complete Genome	0.000357628
viral	Complete Genome	0.000357628
viral	Complete Genome	0.000360489
viral	Complete Genome	0.000364304
viral	Complete Genome	0.000365257
viral	Complete Genome	0.000367165
viral	Complete Genome	0.000370026
viral	Complete Genome	0.000370026
viral	Complete Genome	0.00038147
viral	Complete Genome	0.000382423
viral	Complete Genome	0.000382423
viral	Complete Genome	0.000382423
viral	Complete Genome	0.000383377
viral	Complete Genome	0.000383377
viral	Complete Genome	0.000386238
viral	Complete Genome	0.000387192
viral	Complete Genome	0.000389099
viral	Complete Genome	0.000390053
viral	Complete Genome	0.000398636
viral	Complete Genome	0.00039959
viral	Complete Genome	0.000403404
viral	Complete Genome	0.000403404
viral	Complete Genome	0.000403404
viral	Complete Genome	0.000403404
viral	Complete Genome	0.000404358
viral	Complete Genome	0.000404358
viral	Complete Genome	0.000404358
viral	Complete Genome	0.000405312
viral	Complete Genome	0.000406265
viral	Complete Genome	0.00041008
viral	Complete Genome	0.000411987
viral	Complete Genome	0.000411987
viral	Complete Genome	0.000413895
viral	Complete Genome	0.000413895
viral	Complete Genome	0.000413895
viral	Complete Genome	0.000414848
viral	Complete Genome	0.000416756
viral	Complete Genome	0.000424385
viral	Complete Genome	0.000429153
viral	Complete Genome	0.00043869
viral	Complete Genome	0.00043869
viral	Complete Genome	0.000441551
viral	Complete Genome	0.000450134
viral	Complete Genome	0.000452042
viral	Complete Genome	0.000487328
viral	Complete Genome	0.000490189
viral	Complete Genome	0.00049305
viral	Complete Genome	0.000512123
viral	Complete Genome	0.000554085
viral	Complete Genome	0.000565529
viral	Complete Genome	0.000584602
viral	Complete Genome	0.000592232
viral	Complete Genome	0.000594139
viral	Complete Genome	0.000610352
viral	Complete Genome	0.000622749
viral	Complete Genome	0.000622749
viral	Complete Genome	0.000650406
viral	Complete Genome	0.00065136
viral	Complete Genome	0.00066185
viral	Complete Genome	0.000665665
viral	Complete Genome	0.000665665
viral	Complete Genome	0.000668526
viral	Complete Genome	0.000670433
viral	Complete Genome	0.000673294
viral	Complete Genome	0.00069046
viral	Complete Genome	0.000691414
viral	Complete Genome	0.000692368
viral	Complete Genome	0.000701904
viral	Complete Genome	0.000709534
viral	Complete Genome	0.000717163
viral	Complete Genome	0.000721931
viral	Complete Genome	0.000722885
viral	Complete Genome	0.000724792
viral	Complete Genome	0.000729561
viral	Complete Genome	0.000738144
viral	Complete Genome	0.000739098
viral	Complete Genome	0.000741959
viral	Complete Genome	0.000743866
viral	Complete Genome	0.00074482
viral	Complete Genome	0.00074482
viral	Complete Genome	0.000749588
viral	Complete Genome	0.000750542
viral	Complete Genome	0.000751495
viral	Complete Genome	0.000752449
viral	Complete Genome	0.00075531
viral	Complete Genome	0.000761032
viral	Complete Genome	0.000777245
viral	Complete Genome	0.000782967
viral	Complete Genome	0.000785828
viral	Complete Genome	0.000788689
viral	Complete Genome	0.000794411
viral	Complete Genome	0.000795364
viral	Complete Genome	0.000811577
