Assembly_accession	superkingdom	genomic_size	Tools
GCF_000010525.1	Bacteria	5.185091019	Kraken2
GCF_000007365.1	Bacteria	0.619462013	Kraken2
GCF_000218545.1	Bacteria	3.405175209	Kraken2
GCF_000020965.1	Bacteria	1.892614365	Kraken2
GCF_000378225.1	Bacteria	2.76348114	Kraken2
GCF_000012885.1	Bacteria	3.539829254	Kraken2
GCF_001375595.1	Bacteria	3.214666367	Kraken2
GCF_000518705.1	Bacteria	4.424437523	Kraken2
GCF_000016585.1	Bacteria	4.498978615	Kraken2
GCF_007197645.1	Bacteria	5.74465847	Kraken2
GCF_000988565.1	Bacteria	10.66875744	Kraken2
GCF_000012685.1	Bacteria	8.825366974	Kraken2
GCF_000219105.1	Bacteria	8.693888664	Kraken2
GCF_000165485.1	Bacteria	9.907795906	Kraken2
GCF_000335475.2	Bacteria	11.86613083	Kraken2
GCF_001027285.1	Bacteria	12.05980015	Kraken2
GCF_000601485.1	Bacteria	11.19534492	Kraken2
GCF_001189295.1	Bacteria	10.99639034	Kraken2
GCF_002343915.1	Bacteria	11.64433575	Kraken2
GCF_000067165.1	Bacteria	12.58541393	Kraken2
GCF_000382305.1	Bacteria	2.496342659	Kraken2
GCF_002222655.1	Bacteria	3.657493591	Kraken2
GCF_001442515.1	Bacteria	5.945593834	Kraken2
GCF_000163775.2	Bacteria	2.293534279	Kraken2
GCF_000685215.1	Bacteria	3.518074989	Kraken2
GCF_003751345.1	Bacteria	5.628838539	Kraken2
GCF_003963445.1	Bacteria	5.114149094	Kraken2
GCF_002954665.1	Bacteria	3.925127983	Kraken2
GCF_000427405.1	Bacteria	6.007644653	Kraken2
GCF_000222485.1	Bacteria	6.007289886	Kraken2
GCF_000171775.1	Bacteria	8.937636375	Kraken2
GCF_000165715.2	Bacteria	5.800009727	Kraken2
GCF_000092105.1	Bacteria	5.272372246	Kraken2
GCF_000181475.1	Bacteria	7.520828247	Kraken2
GCF_000153105.1	Bacteria	6.434859276	Kraken2
GCF_000025185.1	Bacteria	5.983077049	Kraken2
GCF_000186345.1	Bacteria	5.339202881	Kraken2
GCF_000283235.1	Bacteria	4.330828667	Kraken2
GCF_000008685.2	Bacteria	1.470366478	Kraken2
GCF_000012065.2	Bacteria	1.030511856	Kraken2
GCF_000512145.1	Bacteria	0.995339394	Kraken2
GCF_000012085.2	Bacteria	1.125892639	Kraken2
GCF_000568655.1	Bacteria	1.109395027	Kraken2
GCF_000518125.1	Bacteria	1.527186394	Kraken2
GCF_000378205.1	Bacteria	4.427903175	Kraken2
GCF_000147075.1	Bacteria	2.387635231	Kraken2
GCF_000008185.1	Bacteria	2.745450974	Kraken2
GCF_000022105.1	Bacteria	2.932292938	Kraken2
GCF_000008605.1	Bacteria	1.098932266	Kraken2
GCF_000187105.1	Bacteria	2.746609688	Kraken2
GCF_000421345.1	Bacteria	3.198459625	Kraken2
GCF_900497565.1	Bacteria	2.158130646	Kraken2
GCF_000255555.1	Bacteria	3.340428352	Kraken2
GCF_000195275.1	Bacteria	2.797881126	Kraken2
GCF_000017605.1	Bacteria	3.820273399	Kraken2
GCF_000007685.1	Bacteria	4.468372345	Kraken2
GCF_000013945.1	Bacteria	3.796695709	Kraken2
GCF_000284315.1	Bacteria	2.471542358	Kraken2
GCF_000243335.1	Bacteria	4.367411613	Kraken2
GCF_000829825.1	Bacteria	4.371660233	Kraken2
GCF_000381985.1	Bacteria	4.14709568	Kraken2
GCF_000420525.1	Bacteria	2.535225868	Kraken2
GCF_000237365.1	Bacteria	7.271674156	Kraken2
GCF_000010725.1	Bacteria	7.338739395	Kraken2
GCF_000146835.1	Bacteria	1.647248268	Kraken2
GCF_000015085.1	Bacteria	1.712660789	Kraken2
GCF_000009085.1	Bacteria	1.585103035	Kraken2
GCF_001643955.1	Bacteria	1.69315052	Kraken2
GCF_000017725.2	Bacteria	2.027387619	Kraken2
GCF_000017465.2	Bacteria	1.903504372	Kraken2
GCF_000019205.1	Bacteria	1.517717361	Kraken2
GCF_000174175.1	Bacteria	2.434324265	Kraken2
GCF_000175655.1	Bacteria	2.003564835	Kraken2
GCF_000788295.1	Bacteria	1.725468636	Kraken2
GCF_000008525.1	Bacteria	1.610548973	Kraken2
GCF_001677375.1	Bacteria	2.180387497	Kraken2
GCF_000009305.1	Bacteria	1.50416851	Kraken2
GCF_000155475.1	Bacteria	2.144255638	Kraken2
GCF_000200595.1	Bacteria	1.615180969	Kraken2
GCF_000509365.1	Bacteria	2.085474968	Kraken2
GCF_000765805.2	Bacteria	2.157086372	Kraken2
GCF_000091985.1	Bacteria	1.52385807	Kraken2
GCF_004328865.1	Bacteria	4.439905167	Kraken2
GCF_000026085.1	Bacteria	3.717973709	Kraken2
GCF_000008145.1	Bacteria	3.173534393	Kraken2
GCF_000016845.1	Bacteria	3.163029671	Kraken2
GCF_000367325.1	Bacteria	3.711585045	Kraken2
GCF_003428875.1	Bacteria	3.188397408	Kraken2
GCF_000757385.1	Bacteria	3.371557236	Kraken2
GCF_003815995.1	Bacteria	4.803125381	Kraken2
GCF_000382425.1	Bacteria	3.665129662	Kraken2
GCF_000425585.1	Bacteria	4.528073311	Kraken2
GCF_000143785.1	Bacteria	5.379415512	Kraken2
GCF_000355905.1	Bacteria	3.203830719	Kraken2
GCF_006540005.1	Bacteria	3.150505066	Kraken2
GCF_000520835.1	Bacteria	4.593230247	Kraken2
GCF_003815895.1	Bacteria	4.047644615	Kraken2
GCF_000243275.1	Bacteria	4.15391922	Kraken2
GCF_000143765.1	Bacteria	4.919294357	Kraken2
GCF_000686625.1	Bacteria	5.704709053	Kraken2
GCF_000008985.1	Bacteria	1.827740669	Kraken2
GCF_000203895.1	Bacteria	5.05626297	Kraken2
GCF_000173055.1	Bacteria	2.259479523	Kraken2
GCF_000008125.1	Bacteria	2.054409027	Kraken2
GCF_000771745.2	Bacteria	2.308052063	Kraken2
GCF_000024425.1	Bacteria	2.990944862	Kraken2
GCF_000017645.1	Bacteria	5.431702614	Kraken2
GCF_000168855.1	Bacteria	5.81926918	Kraken2
GCF_000006765.1	Bacteria	6.048934937	Kraken2
GCF_000014225.1	Bacteria	5.008606911	Kraken2
GCF_000292915.1	Bacteria	6.244948387	Kraken2
GCF_000204035.1	Bacteria	3.254155159	Kraken2
GCF_000009225.2	Bacteria	6.491308212	Kraken2
GCF_000250595.1	Bacteria	4.899875641	Kraken2
GCF_003574215.1	Bacteria	2.210186005	Kraken2
GCF_001467265.1	Bacteria	5.703793526	Kraken2
GCF_000016565.1	Bacteria	4.898332596	Kraken2
GCF_000297075.2	Bacteria	4.525176048	Kraken2
GCF_000007565.2	Bacteria	5.969251633	Kraken2
GCF_004342485.1	Bacteria	5.583233833	Kraken2
GCF_000009125.1	Bacteria	5.611140251	Kraken2
GCF_000013785.1	Bacteria	4.410331726	Kraken2
GCF_000012245.1	Bacteria	5.884123802	Kraken2
GCF_000020205.1	Bacteria	5.142699242	Kraken2
GCF_000022645.2	Bacteria	7.034424782	Kraken2
GCF_000007145.1	Bacteria	4.901634216	Kraken2
GCF_000313775.1	Bacteria	4.045726776	Kraken2
GCF_000007165.1	Bacteria	5.092957497	Kraken2
GCF_000010025.1	Bacteria	4.7703228	Kraken2
GCF_006539865.1	Bacteria	4.466836929	Kraken2
GCF_000817975.1	Bacteria	5.014200211	Kraken2
GCF_000021045.1	Bacteria	5.180779457	Kraken2
GCF_000016265.1	Bacteria	7.023432732	Kraken2
GCF_000696095.1	Bacteria	6.806479454	Kraken2
GCF_000016285.1	Bacteria	6.103941917	Kraken2
GCF_000261545.1	Bacteria	9.874140739	Kraken2
GCF_900011245.1	Bacteria	7.28808403	Kraken2
GCF_000018545.1	Bacteria	6.655000687	Kraken2
GCF_000384055.1	Bacteria	7.206129074	Kraken2
GCF_000006965.1	Bacteria	6.461675644	Kraken2
GCF_000009265.1	Bacteria	7.485232353	Kraken2
GCF_000172715.2	Bacteria	6.436509132	Kraken2
GCF_000330885.1	Bacteria	6.456577301	Kraken2
GCF_000731295.1	Bacteria	6.192734718	Kraken2
GCF_000013705.1	Bacteria	2.869340897	Kraken2
GCF_000617925.1	Bacteria	3.139525414	Kraken2
GCF_000018845.1	Bacteria	5.282979965	Kraken2
GCF_003096615.1	Bacteria	6.527593613	Kraken2
GCF_000008325.1	Bacteria	3.19093132	Kraken2
GCF_000427625.1	Bacteria	4.856506348	Kraken2
GCF_003854875.1	Bacteria	2.901183128	Kraken2
GCF_000214665.1	Bacteria	4.87793541	Kraken2
GCF_000178815.2	Bacteria	4.791837692	Kraken2
GCF_003113265.1	Bacteria	3.662074089	Kraken2
GCF_000193495.1	Bacteria	3.56739521	Kraken2
GCF_000164395.1	Bacteria	3.511631012	Kraken2
GCF_000617865.1	Bacteria	3.613866806	Kraken2
GCF_000010825.1	Bacteria	3.225914001	Kraken2
GCF_000011685.1	Bacteria	2.822245598	Kraken2
GCF_000008485.1	Bacteria	3.280953407	Kraken2
GCF_001467045.1	Bacteria	3.9880867	Kraken2
GCF_001467615.1	Bacteria	3.131077766	Kraken2
GCF_000953655.1	Bacteria	3.448139191	Kraken2
GCF_000091785.1	Bacteria	4.006518364	Kraken2
GCF_000953635.1	Bacteria	3.196214676	Kraken2
GCF_001468165.1	Bacteria	3.203120232	Kraken2
GCF_001467625.1	Bacteria	3.440555573	Kraken2
GCF_001467785.1	Bacteria	2.970878601	Kraken2
GCF_001467745.1	Bacteria	3.22784996	Kraken2
GCF_001467765.1	Bacteria	2.981320381	Kraken2
GCF_001468125.1	Bacteria	3.024170876	Kraken2
GCF_001468065.1	Bacteria	3.817200661	Kraken2
GCF_000236145.1	Bacteria	3.632627487	Kraken2
GCF_001467685.1	Bacteria	3.692446709	Kraken2
GCF_001467845.1	Bacteria	3.481834412	Kraken2
GCF_000021245.2	Bacteria	3.924197197	Kraken2
GCF_000162035.1	Bacteria	3.74960804	Kraken2
GCF_002014975.1	Bacteria	2.670383453	Kraken2
GCF_001591245.1	Bacteria	2.71432209	Kraken2
GCF_001679005.1	Bacteria	2.205050468	Kraken2
GCF_000092265.1	Bacteria	1.799236298	Kraken2
GCF_000173895.1	Bacteria	1.81182003	Kraken2
GCF_000173935.1	Bacteria	2.142201424	Kraken2
GCF_000006845.1	Bacteria	2.079885483	Kraken2
GCF_000173995.1	Bacteria	2.107707024	Kraken2
GCF_000008805.1	Bacteria	2.194246292	Kraken2
GCF_000173875.1	Bacteria	2.496565819	Kraken2
GCF_000176735.1	Bacteria	1.976574898	Kraken2
GCF_000174655.1	Bacteria	2.739217758	Kraken2
GCF_003795365.1	Bacteria	2.113371849	Kraken2
GCF_002108495.1	Bacteria	2.457444191	Kraken2
GCF_001592185.1	Bacteria	2.277126312	Kraken2
GCF_000176755.2	Bacteria	2.216054916	Kraken2
GCF_000220865.1	Bacteria	2.659245491	Kraken2
GCF_003148585.1	Bacteria	3.135175705	Kraken2
GCF_000021685.1	Bacteria	2.820384979	Kraken2
